"Archived - Health characteristics, annual estimates, inactive 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 13-10-0096-01 (formerly CANSIM 105-0508)"
"Release date: 2023-11-06"
"Geography: Province or territory"
""
""

"Geography","Manitoba",,,,,,,
"Age group","Total, 12 years and over",,,,,,,
"Sex","Both sexes",,,,,,,
"Characteristics 5 7 8 9 10 11 12 13 14","Number of persons",,,,,,,
"Indicators","2015","2016","2017","2018","2019","2020","2021","2022"
"Perceived health, very good or excellent 15","620,300","625,100","641,400","631,400","653,100","651,600","652,600","592,500"
"Perceived health, fair or poor 15","120,800","120,200","119,500","123,800","119,800","134,300","122,600","133,600"
"Perceived mental health, very good or excellent 16","712,200","689,200","717,600","691,600","669,500","671,700","620,500","577,000"
"Perceived mental health, fair or poor 16","64,200","77,700","68,400","82,100","87,700","97,100","128,500","158,000"
"Perceived life stress, most days quite a bit or extremely stressful 17","192,000","221,800","186,000","209,600","202,600","233,100","197,400","230,900"
"Body mass index, adjusted self-reported, adult (18 years and over), overweight 18 19 20 21 22 23","291,900","308,700","305,500","323,200","322,800","352,500","321,200","325,100"
"Body mass index, adjusted self-reported, adult (18 years and over), obese 18 19 20 21 22 23","268,600","263,400","262,900","279,700","323,800","280,700","319,600","323,900"
"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese 18 19 20 21 23","19,800","20,400","18,900","22,900","24,900E","22,900E","26,800","F"
"Arthritis (15 years and over) 24","209,600","226,400","189,900","189,200","207,100","198,000","195,800","209,500"
"Diabetes 25","73,500","59,600","87,300","68,500","73,400","67,300","83,400","83,000"
"Asthma 26 27","86,400","83,400","82,000","90,300","81,400","85,900","..",".."
"Chronic obstructive pulmonary disease (COPD; 35 years and over) 27 28 29","32,700E","18,800E","25,900E","17,700","31,300E","24,900","..",".."
"High blood pressure 29 30","174,300","193,900","195,900","203,900","198,100","198,500","195,900","211,100"
"Mood disorder 31","79,200","95,500","99,800","110,500","106,800","100,700","106,200","123,000"
"Anxiety disorder 32","..","..","..","..","..","..","..","146,400"
"Current smoker, daily or occasional 33 34 35 36 37","199,400","187,600","165,400","186,500","159,900","168,500","121,200","129,700"
"Current smoker, daily 33 34 35 36","140,900","135,500","110,800","118,400","108,400","112,200","84,800","115,700"
"Cannabis use, past 12 months 38","..","..","..","..","231,100","222,300","216,600","260,700"
"Cannabis frequency of use in the past 12 months, daily or almost daily 38 39","..","..","..","..","52,900","74,500","54,900","61,900"
"Ever used e-cigarette or vaping device 40","..","..","..","..","..","..","..","219,300"
"Used e-cigarette or vaping device, past 30 days 41","..","..","..","..","..","..","..","68,900"
"Heavy drinking 42","199,300","172,600","175,500","169,000","217,100","171,900","160,000","235,400"
"Self-reported physical activity, 150 minutes per week, adult (18 years and over) 43 44","504,100","499,700","525,300","510,600","..","468,400","524,900",".."
"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old) 44 45","48,100","40,600","46,000","37,600","..","33,700","41,500",".."
"Breast milk feeding initiation 46 47","45,100","60,400","69,400","49,000","..","..","51,100","55,400"
"Exclusive breastfeeding, at least 6 months 46 48 49","18,200E","19,000E","24,800E","24,400E","..","..","18,900E","F"
"Fruit and vegetable consumption, 5 times or more per day 50 51","281,000","240,000","251,500","..","..","198,300","207,300",".."
"Sense of belonging to local community, somewhat strong or very strong 52","711,200","693,400","746,900","754,100","779,000","747,500","749,500","743,300"
"Life satisfaction, satisfied or very satisfied 53","922,000","925,100","963,400","951,900","976,400","955,800","979,800","946,400"
"Has a regular healthcare provider 54 55","833,500","878,600","884,600","887,700","903,700","918,400","940,400","986,200"
"Contact with a medical doctor in the past 12 months 56 57 58","717,000","771,300","..","..","..","..","..",".."
"Influenza immunization in the past 12 months 27 59","300,300","314,800","303,600","305,600","354,100","384,600","..","436,200"

Symbol legend:
.., not available for a specific reference period
17,"Population aged 12 and over who reported perceiving that most days in their life were quite a bit or extremely stressful. Perceived life stress refers to the amount of stress in the person's life, on most days, as perceived by the person or, in the case of proxy response, by the person responding."
18,"Body mass index (BMI) is a method of classifying body weight according to health risk. According to the World Health Organization (WHO) and Health Canada guidelines, health risk levels are associated with each of the following BMI categories: normal weight = least health risk; underweight and overweight = increased health risk; obese, class I = high health risk; obese, class II = very high health risk; obese, class III = extremely high health risk."
19,"Body mass index (BMI) is calculated by dividing the respondent's body weight (in kilograms) by their height (in metres) squared."
20,"Body mass index (BMI) is calculated for the population aged 12 and over, excluding pregnant females and persons less than 3 feet (0.914 metres) tall or greater than 6 feet 11 inches (2.108 metres)."
21,"According to the World Health Organization (WHO) and Health Canada guidelines, the index for body weight classification for the population aged 18 and older is: less than 18.50 (underweight); 18.50 to 24.99 (normal weight); 25.00 to 29.99 (overweight); 30.00 to 34.99 (obese, class I); 35.00 to 39.99 (obese, class II); 40.00 or greater (obese, class III). The population aged 12 to 17 is classified as "severely obese", "obese", or "overweight" according to age and sex specific cut-off points defined by the World Health Organization."
22,"A systematic review of the literature concluded that the use of self-reported data among adults underestimates weight and overestimates height, resulting in lower estimates of obesity than those obtained from measured data. Using data from the 2005 Canadian Community Health Survey (CCHS) subsample, where both measured and self-reported height and weight were collected, BMI correction equations have been developed. This table presents obesity estimates adjusted using these equations."
23,"The Canadian Community Health Survey (CCHS) - Annual, the Canadian Health Measures Survey (CHMS) and the 2015 CCHS - Nutrition, all collect height and weight data and derive obesity rates based on Body Mass Index (BMI). Users should take note of the data collection method, the target population and the classification system used by each survey in order to select the appropriate data set."
24,"Population aged 15 and over who reported that they have been diagnosed by a health professional as having arthritis. Arthritis includes osteoarthritis and rheumatoid arthritis, but excludes fibromyalgia."
25,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having Type 1 or Type 2 diabetes, including females 15 and over who reported that they have been diagnosed with gestational diabetes."
26,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having asthma."
27,"Due to content changes, data for the following indicators are not available for 2021: Asthma, Chronic obstructive pulmonary disease (COPD), and Influenza immunization in the past 12 months."
28,"Population aged 35 and over who reported being diagnosed by a health professional with chronic bronchitis, emphysema or chronic obstructive pulmonary disease (COPD)."
29,"The Canadian Health Measures Survey (CHMS) and the Canadian Community Health Survey (CCHS) - Annual both collect data on the prevalence of COPD and high blood pressure. Users should take note of the data collection method and the target population of each survey in order to select the appropriate data set."
30,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having high blood pressure."
31,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having a mood disorder, such as depression, bipolar disorder, mania or dysthymia."
32,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having an anxiety disorder, such as phobia, panic disorder or generalized anxiety disorder. Excludes obsessive-compulsive disorder."
33,"Population aged 12 and over who reported being a current smoker. Does not take into account the number of cigarettes smoked."
34,"Data collected for this indicator is based on the question referring to smoking of cigarettes only. Note that data on smoking alternative tobacco products is captured in a different module (TAL)."
35,"Daily smoker refers to those who reported smoking cigarettes every day."
36,"Statistics Canada has two main surveys that produce national and provincial smoking rates. The Canadian Community Health Survey (CCHS), and the Canadian Tobacco, Alcohol and Drugs Survey (CTADS), which replaces the Canadian Tobacco Use Monitoring Survey (CTUMS) beginning in 2013. Users should be aware of a number of differences between CCHS and CTADS. CCHS collects information from respondents aged 12 and over, CTADS collects information from respondents aged 15 and over; the two surveys use different sampling frames; the annual sample for CTADS is 20,000 compared to 65,000 for CCHS; in CCHS, smoking questions are asked in the context of a wide range of health-related behaviours whereas in CTADS, all questions are related to the use of multiple products and substances with addictive properties. Although these factors can influence the estimates produced at a single point in time, the trends produced by the two surveys have been noted to be very consistent over time. Rather than comparing smoking rates produced from the two surveys, Statistics Canada advises users to choose a single source, based on their objectives, and to use that source consistently."
37,"Occasional smoker refers to those who reported smoking cigarettes occasionally. This includes former daily smokers who now smoke occasionally."
38,"Questions on cannabis use were added to the Canadian Community Health Survey CCHS beginning in 2019."
39,"The percentage of daily or almost daily cannabis users is calculated out of the full population."
40,"Represents those who have ever tried an e-cigarette/vaping device."
41,"Represents those who have used an e-cigarette/vaping device within the past 30 days."
42,"Heavy drinking refers to males who reported having 5 or more drinks, or women who reported having 4 or more drinks, on one occasion, at least once a month in the past year."
43,"Canadians aged 18 and over. Based on the number of minutes of physical activity reported in the last 7 days. Indicates whether adults are physically active, meaning that they participate in at least 150 minutes of moderate to vigorous intensity aerobic physical activity per week, in bouts of 10 minutes or more. Moderate exercise is defined as an activity that causes a person to breathe harder and sweat at least a little."
44,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2019."
45,"Canadians aged 12 to 17. Based on the number of minutes of physical activity reported in the last 7 days. Indicates whether a youth is physically active by practicing an average of 60 minutes of moderate-to-vigorous physical activity each day. Moderate exercise is defined as an activity that causes a person to breathe harder and sweat at least a little."
46,"Based on information provided by females aged 15 to 55 who had a baby in the last 5 years."
47,"Initiated breastfeeding refers to mothers who breastfed or tried to breastfeed their last child, or gave breastmilk to their last child even if only for a short time."
48,"Exclusive breastfeeding refers to an infant receiving only breast milk, without any additional liquid (even water) or solid food."
49,"The numerator includes mothers who have exclusively breastfed for at least 6 months and who may or may not be still breastfeeding. The denominator includes all mothers who had a baby in the past 5 years but excludes mothers who were still breastfeeding and who had not introduced any other liquids or solid foods to the baby's feeds."
50,"Indicates the usual number of times (frequency) per day a person reported eating fruits and vegetables. Measure does not take into account the amount consumed. This includes pure fruit juice, frozen or canned fruits and vegetables, and dried fruit, but excludes fried potatoes."
51,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2018."
52,"Population aged 12 and over who reported their sense of belonging to their local community as being very strong or somewhat strong. Research shows a high correlation of sense of community-belonging with physical and mental health."
53,"Population aged 12 and over who reported being satisfied or very satisfied with their life in general. Life satisfaction is based on a self-reported score from 0 to 10 for how respondents feel about their life as a whole at the moment. Satisfied or very satisfied represents those who indicated a value of 6 or more out of 10."
54,"Population aged 12 and over who have a health care provider they regularly see or talk to when they need normal care or advice for their health."
55,"Beginning in 2022, this indicator is based on a modified version of the question used from 2015 to 2021. Respondents are asked which health care providers they regularly consult with. This indicator is based on those who answered: family doctor or general practitioner, medical specialist, nurse practitioner, or other."
56,"Population aged 12 and over who reported having consulted with a medical doctor in the past 12 months."
57,"Medical doctor includes family or general practitioners as well as specialists such as surgeons, allergists, orthopaedists, gynaecologists, urologists or psychiatrists. For population aged 12 to 17, includes pediatricians."
58,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2017."
59,"Population aged 12 and over who reported having their last influenza immunization (flu shot) in the past 12 months."



"How to cite: Statistics Canada. Table 13-10-0096-01  Health characteristics, annual estimates, inactive"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310009601
