"Archived - Health characteristics, annual estimates, inactive 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 13-10-0096-01 (formerly CANSIM 105-0508)"
"Release date: 2023-11-06"
"Geography: Province or territory"
""
""

"Geography","British Columbia",,,,,,,
"Age group","Total, 12 years and over",,,,,,,
"Sex","Both sexes",,,,,,,
"Characteristics 5 7 8 9 10 11 12 13 14","Number of persons",,,,,,,
"Indicators","2015","2016","2017","2018","2019","2020","2021","2022"
"Perceived health, very good or excellent 15","2,425,800","2,390,100","2,463,900","2,520,000","2,537,800","2,664,700","2,661,200","2,336,800"
"Perceived health, fair or poor 15","446,500","486,000","544,600","474,100","526,700","517,400","552,400","742,700"
"Perceived mental health, very good or excellent 16","2,651,800","2,751,500","2,704,900","2,622,600","2,659,400","2,603,400","2,434,600","2,268,300"
"Perceived mental health, fair or poor 16","243,100","316,600","347,000","349,200","353,000","463,500","610,500","808,200"
"Perceived life stress, most days quite a bit or extremely stressful 17","800,300","782,400","879,900","849,700","838,100","943,000","874,300","1,034,800"
"Body mass index, adjusted self-reported, adult (18 years and over), overweight 18 19 20 21 22 23","1,240,100","1,237,700","1,245,200","1,266,400","1,308,500","1,398,400","1,368,500","1,415,800"
"Body mass index, adjusted self-reported, adult (18 years and over), obese 18 19 20 21 22 23","707,000","783,300","777,900","830,000","821,000","909,300","976,400","1,041,200"
"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese 18 19 20 21 23","54,100","62,200","46,200","48,300","51,900","51,300","52,700","83,000E"
"Arthritis (15 years and over) 24","763,300","763,100","722,100","738,600","720,000","772,300","809,100","879,300"
"Diabetes 25","245,400","233,900","240,800","240,900","294,200","240,600","265,300","314,100"
"Asthma 26 27","333,200","313,200","295,100","312,500","339,900","400,900","..",".."
"Chronic obstructive pulmonary disease (COPD; 35 years and over) 27 28 29","102,700","99,000","110,000","98,400","116,500","88,600","..",".."
"High blood pressure 29 30","573,400","627,500","686,200","652,500","668,400","672,900","751,700","828,300"
"Mood disorder 31","390,500","388,900","423,500","365,700","405,000","416,000","473,800","621,500"
"Anxiety disorder 32","..","..","..","..","..","..","..","693,400"
"Current smoker, daily or occasional 33 34 35 36 37","549,100","587,700","539,700","499,200","469,600","444,800","431,900","405,100"
"Current smoker, daily 33 34 35 36","360,100","375,100","348,700","305,300","282,200","259,800","287,100","288,500"
"Cannabis use, past 12 months 38","..","..","..","..","914,500","1,010,500","1,103,400","1,112,300"
"Cannabis frequency of use in the past 12 months, daily or almost daily 38 39","..","..","..","..","248,900","241,700","272,100","290,200"
"Ever used e-cigarette or vaping device 40","..","..","..","..","..","..","..","853,100"
"Used e-cigarette or vaping device, past 30 days 41","..","..","..","..","..","..","..","292,000"
"Heavy drinking 42","685,400","674,600","720,000","828,900","765,100","753,800","676,100","862,700"
"Self-reported physical activity, 150 minutes per week, adult (18 years and over) 43 44","2,329,800","2,475,200","2,433,000","2,468,800","..","2,637,800","2,591,800",".."
"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old) 44 45","167,700","152,300","171,000","138,100","..","149,100","154,300",".."
"Breast milk feeding initiation 46 47","164,900","175,000","184,100","159,700","193,500","177,200","149,800","172,500"
"Exclusive breastfeeding, at least 6 months 46 48 49","62,400","64,100","85,800","75,400","71,200","70,100E","59,200E","68,000E"
"Fruit and vegetable consumption, 5 times or more per day 50 51","1,103,000","1,206,800","1,107,300","..","..","1,018,100","915,500",".."
"Sense of belonging to local community, somewhat strong or very strong 52","2,721,200","2,795,200","2,800,200","2,759,900","2,916,400","2,974,200","3,090,200","2,927,200"
"Life satisfaction, satisfied or very satisfied 53","3,574,800","3,593,600","3,632,500","3,671,600","3,804,400","3,931,200","3,997,300","3,830,000"
"Has a regular healthcare provider 54 55","3,314,800","3,356,900","3,349,700","3,418,300","3,464,500","3,576,200","3,710,800","3,798,200"
"Contact with a medical doctor in the past 12 months 56 57 58","3,051,300","2,976,400","..","..","..","..","..",".."
"Influenza immunization in the past 12 months 27 59","1,366,900","1,263,700","1,323,600","1,364,000","1,502,500","1,782,900","..","1,811,000"

Symbol legend:
.., not available for a specific reference period
19,"Body mass index (BMI) is calculated by dividing the respondent's body weight (in kilograms) by their height (in metres) squared."
20,"Body mass index (BMI) is calculated for the population aged 12 and over, excluding pregnant females and persons less than 3 feet (0.914 metres) tall or greater than 6 feet 11 inches (2.108 metres)."
21,"According to the World Health Organization (WHO) and Health Canada guidelines, the index for body weight classification for the population aged 18 and older is: less than 18.50 (underweight); 18.50 to 24.99 (normal weight); 25.00 to 29.99 (overweight); 30.00 to 34.99 (obese, class I); 35.00 to 39.99 (obese, class II); 40.00 or greater (obese, class III). The population aged 12 to 17 is classified as "severely obese", "obese", or "overweight" according to age and sex specific cut-off points defined by the World Health Organization."
22,"A systematic review of the literature concluded that the use of self-reported data among adults underestimates weight and overestimates height, resulting in lower estimates of obesity than those obtained from measured data. Using data from the 2005 Canadian Community Health Survey (CCHS) subsample, where both measured and self-reported height and weight were collected, BMI correction equations have been developed. This table presents obesity estimates adjusted using these equations."
23,"The Canadian Community Health Survey (CCHS) - Annual, the Canadian Health Measures Survey (CHMS) and the 2015 CCHS - Nutrition, all collect height and weight data and derive obesity rates based on Body Mass Index (BMI). Users should take note of the data collection method, the target population and the classification system used by each survey in order to select the appropriate data set."
24,"Population aged 15 and over who reported that they have been diagnosed by a health professional as having arthritis. Arthritis includes osteoarthritis and rheumatoid arthritis, but excludes fibromyalgia."
25,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having Type 1 or Type 2 diabetes, including females 15 and over who reported that they have been diagnosed with gestational diabetes."
26,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having asthma."
27,"Due to content changes, data for the following indicators are not available for 2021: Asthma, Chronic obstructive pulmonary disease (COPD), and Influenza immunization in the past 12 months."
28,"Population aged 35 and over who reported being diagnosed by a health professional with chronic bronchitis, emphysema or chronic obstructive pulmonary disease (COPD)."
29,"The Canadian Health Measures Survey (CHMS) and the Canadian Community Health Survey (CCHS) - Annual both collect data on the prevalence of COPD and high blood pressure. Users should take note of the data collection method and the target population of each survey in order to select the appropriate data set."
30,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having high blood pressure."
31,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having a mood disorder, such as depression, bipolar disorder, mania or dysthymia."
32,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having an anxiety disorder, such as phobia, panic disorder or generalized anxiety disorder. Excludes obsessive-compulsive disorder."
33,"Population aged 12 and over who reported being a current smoker. Does not take into account the number of cigarettes smoked."
34,"Data collected for this indicator is based on the question referring to smoking of cigarettes only. Note that data on smoking alternative tobacco products is captured in a different module (TAL)."
35,"Daily smoker refers to those who reported smoking cigarettes every day."
36,"Statistics Canada has two main surveys that produce national and provincial smoking rates. The Canadian Community Health Survey (CCHS), and the Canadian Tobacco, Alcohol and Drugs Survey (CTADS), which replaces the Canadian Tobacco Use Monitoring Survey (CTUMS) beginning in 2013. Users should be aware of a number of differences between CCHS and CTADS. CCHS collects information from respondents aged 12 and over, CTADS collects information from respondents aged 15 and over; the two surveys use different sampling frames; the annual sample for CTADS is 20,000 compared to 65,000 for CCHS; in CCHS, smoking questions are asked in the context of a wide range of health-related behaviours whereas in CTADS, all questions are related to the use of multiple products and substances with addictive properties. Although these factors can influence the estimates produced at a single point in time, the trends produced by the two surveys have been noted to be very consistent over time. Rather than comparing smoking rates produced from the two surveys, Statistics Canada advises users to choose a single source, based on their objectives, and to use that source consistently."
37,"Occasional smoker refers to those who reported smoking cigarettes occasionally. This includes former daily smokers who now smoke occasionally."
38,"Questions on cannabis use were added to the Canadian Community Health Survey CCHS beginning in 2019."
39,"The percentage of daily or almost daily cannabis users is calculated out of the full population."
40,"Represents those who have ever tried an e-cigarette/vaping device."
41,"Represents those who have used an e-cigarette/vaping device within the past 30 days."
42,"Heavy drinking refers to males who reported having 5 or more drinks, or women who reported having 4 or more drinks, on one occasion, at least once a month in the past year."
43,"Canadians aged 18 and over. Based on the number of minutes of physical activity reported in the last 7 days. Indicates whether adults are physically active, meaning that they participate in at least 150 minutes of moderate to vigorous intensity aerobic physical activity per week, in bouts of 10 minutes or more. Moderate exercise is defined as an activity that causes a person to breathe harder and sweat at least a little."
44,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2019."
45,"Canadians aged 12 to 17. Based on the number of minutes of physical activity reported in the last 7 days. Indicates whether a youth is physically active by practicing an average of 60 minutes of moderate-to-vigorous physical activity each day. Moderate exercise is defined as an activity that causes a person to breathe harder and sweat at least a little."
46,"Based on information provided by females aged 15 to 55 who had a baby in the last 5 years."
47,"Initiated breastfeeding refers to mothers who breastfed or tried to breastfeed their last child, or gave breastmilk to their last child even if only for a short time."
48,"Exclusive breastfeeding refers to an infant receiving only breast milk, without any additional liquid (even water) or solid food."
49,"The numerator includes mothers who have exclusively breastfed for at least 6 months and who may or may not be still breastfeeding. The denominator includes all mothers who had a baby in the past 5 years but excludes mothers who were still breastfeeding and who had not introduced any other liquids or solid foods to the baby's feeds."
50,"Indicates the usual number of times (frequency) per day a person reported eating fruits and vegetables. Measure does not take into account the amount consumed. This includes pure fruit juice, frozen or canned fruits and vegetables, and dried fruit, but excludes fried potatoes."
51,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2018."
52,"Population aged 12 and over who reported their sense of belonging to their local community as being very strong or somewhat strong. Research shows a high correlation of sense of community-belonging with physical and mental health."
53,"Population aged 12 and over who reported being satisfied or very satisfied with their life in general. Life satisfaction is based on a self-reported score from 0 to 10 for how respondents feel about their life as a whole at the moment. Satisfied or very satisfied represents those who indicated a value of 6 or more out of 10."
54,"Population aged 12 and over who have a health care provider they regularly see or talk to when they need normal care or advice for their health."
55,"Beginning in 2022, this indicator is based on a modified version of the question used from 2015 to 2021. Respondents are asked which health care providers they regularly consult with. This indicator is based on those who answered: family doctor or general practitioner, medical specialist, nurse practitioner, or other."
56,"Population aged 12 and over who reported having consulted with a medical doctor in the past 12 months."
57,"Medical doctor includes family or general practitioners as well as specialists such as surgeons, allergists, orthopaedists, gynaecologists, urologists or psychiatrists. For population aged 12 to 17, includes pediatricians."
58,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2017."
59,"Population aged 12 and over who reported having their last influenza immunization (flu shot) in the past 12 months."



"How to cite: Statistics Canada. Table 13-10-0096-01  Health characteristics, annual estimates, inactive"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310009601
