"Archived - Health characteristics, annual estimates, inactive 1 2 3 4 5 6"
"Frequency: Occasional"
"Table: 13-10-0096-01 (formerly CANSIM 105-0508)"
"Release date: 2023-11-06"
"Geography: Province or territory"
""
""

"Geography","Quebec",,,,,,,
"Age group","Total, 12 years and over",,,,,,,
"Sex","Both sexes",,,,,,,
"Characteristics 5 7 8 9 10 11 12 13 14","Number of persons",,,,,,,
"Indicators","2015","2016","2017","2018","2019","2020","2021","2022"
"Perceived health, very good or excellent 15","4,453,700","4,420,900","4,423,000","4,398,700","4,524,600","4,729,800","4,502,400","4,490,000"
"Perceived health, fair or poor 15","639,200","692,200","673,900","701,400","633,900","596,400","636,400","786,000"
"Perceived mental health, very good or excellent 16","5,204,000","5,101,100","5,161,500","5,039,800","5,147,300","5,086,500","4,734,000","4,748,500"
"Perceived mental health, fair or poor 16","294,200","350,100","355,900","400,600","368,600","474,100","568,600","633,700"
"Perceived life stress, most days quite a bit or extremely stressful 17","1,708,800","1,635,600","1,763,000","1,635,800","1,716,100","1,592,600","1,581,000","1,516,500"
"Body mass index, adjusted self-reported, adult (18 years and over), overweight 18 19 20 21 22 23","2,337,800","2,242,500","2,279,500","2,379,100","2,387,700","2,281,500","2,411,400","2,311,500"
"Body mass index, adjusted self-reported, adult (18 years and over), obese 18 19 20 21 22 23","1,491,900","1,582,900","1,707,200","1,600,400","1,654,000","1,700,400","1,796,800","1,872,700"
"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese 18 19 20 21 23","92,700","94,600","99,500","93,600","93,900","98,800","84,200","133,200"
"Arthritis (15 years and over) 24","1,262,900","1,295,600","1,263,900","1,212,800","1,334,500","1,354,600","1,358,700","1,210,200"
"Diabetes 25","512,500","477,300","473,800","534,800","537,500","512,200","556,900","592,300"
"Asthma 26 27","559,500","618,100","583,200","597,900","581,600","631,900","..",".."
"Chronic obstructive pulmonary disease (COPD; 35 years and over) 27 28 29","210,600","189,900","227,700","198,000","178,900","212,100","..",".."
"High blood pressure 29 30","1,178,300","1,218,900","1,189,900","1,185,800","1,215,000","1,203,000","1,241,000","1,329,800"
"Mood disorder 31","380,000","409,300","443,600","459,400","423,300","435,200","442,400","604,400"
"Anxiety disorder 32","..","..","..","..","..","..","..","1,044,900"
"Current smoker, daily or occasional 33 34 35 36 37","1,312,600","1,284,700","1,306,700","1,257,600","1,235,000","1,105,200","974,800","975,900"
"Current smoker, daily 33 34 35 36","946,900","913,400","905,700","878,000","832,000","769,500","733,100","764,400"
"Cannabis use, past 12 months 38","..","..","..","..","1,144,100","1,183,800","1,090,600","1,162,900"
"Cannabis frequency of use in the past 12 months, daily or almost daily 38 39","..","..","..","..","224,300","247,000","245,300","268,500"
"Ever used e-cigarette or vaping device 40","..","..","..","..","..","..","..","1,420,400"
"Used e-cigarette or vaping device, past 30 days 41","..","..","..","..","..","..","..","407,400"
"Heavy drinking 42","1,421,800","1,572,900","1,622,800","1,523,500","1,446,100","1,275,100","1,166,400","1,579,400"
"Self-reported physical activity, 150 minutes per week, adult (18 years and over) 43 44","3,559,700","3,627,100","3,599,900","3,368,200","..","3,356,900","3,501,200",".."
"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old) 44 45","218,800","232,100","215,000","202,800","..","170,500","217,000",".."
"Breast milk feeding initiation 46 47","302,300","318,200","336,800","344,700","..","..","311,500","342,800"
"Exclusive breastfeeding, at least 6 months 46 48 49","74,800","85,300","84,500","95,400","..","..","95,300","128,800"
"Fruit and vegetable consumption, 5 times or more per day 50 51","2,626,100","2,627,600","2,354,700","..","..","2,392,900","2,003,000",".."
"Sense of belonging to local community, somewhat strong or very strong 52","3,937,700","4,116,500","4,260,600","4,215,500","4,438,500","4,684,200","4,700,000","4,356,300"
"Life satisfaction, satisfied or very satisfied 53","6,441,300","6,521,700","6,559,700","6,619,400","6,786,800","6,775,500","6,801,400","6,647,200"
"Has a regular healthcare provider 54 55","5,066,000","5,246,400","5,536,200","5,691,200","5,654,900","5,843,500","5,720,000","5,817,900"
"Contact with a medical doctor in the past 12 months 56 57 58","4,757,400","4,822,700","..","..","..","..","..",".."
"Influenza immunization in the past 12 months 27 59","1,749,100","1,599,200","1,645,900","1,447,500","1,434,600","1,671,700","..","1,695,500"

Symbol legend:
.., not available for a specific reference period
20,"Body mass index (BMI) is calculated for the population aged 12 and over, excluding pregnant females and persons less than 3 feet (0.914 metres) tall or greater than 6 feet 11 inches (2.108 metres)."
21,"According to the World Health Organization (WHO) and Health Canada guidelines, the index for body weight classification for the population aged 18 and older is: less than 18.50 (underweight); 18.50 to 24.99 (normal weight); 25.00 to 29.99 (overweight); 30.00 to 34.99 (obese, class I); 35.00 to 39.99 (obese, class II); 40.00 or greater (obese, class III). The population aged 12 to 17 is classified as "severely obese", "obese", or "overweight" according to age and sex specific cut-off points defined by the World Health Organization."
22,"A systematic review of the literature concluded that the use of self-reported data among adults underestimates weight and overestimates height, resulting in lower estimates of obesity than those obtained from measured data. Using data from the 2005 Canadian Community Health Survey (CCHS) subsample, where both measured and self-reported height and weight were collected, BMI correction equations have been developed. This table presents obesity estimates adjusted using these equations."
23,"The Canadian Community Health Survey (CCHS) - Annual, the Canadian Health Measures Survey (CHMS) and the 2015 CCHS - Nutrition, all collect height and weight data and derive obesity rates based on Body Mass Index (BMI). Users should take note of the data collection method, the target population and the classification system used by each survey in order to select the appropriate data set."
24,"Population aged 15 and over who reported that they have been diagnosed by a health professional as having arthritis. Arthritis includes osteoarthritis and rheumatoid arthritis, but excludes fibromyalgia."
25,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having Type 1 or Type 2 diabetes, including females 15 and over who reported that they have been diagnosed with gestational diabetes."
26,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having asthma."
27,"Due to content changes, data for the following indicators are not available for 2021: Asthma, Chronic obstructive pulmonary disease (COPD), and Influenza immunization in the past 12 months."
28,"Population aged 35 and over who reported being diagnosed by a health professional with chronic bronchitis, emphysema or chronic obstructive pulmonary disease (COPD)."
29,"The Canadian Health Measures Survey (CHMS) and the Canadian Community Health Survey (CCHS) - Annual both collect data on the prevalence of COPD and high blood pressure. Users should take note of the data collection method and the target population of each survey in order to select the appropriate data set."
30,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having high blood pressure."
31,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having a mood disorder, such as depression, bipolar disorder, mania or dysthymia."
32,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having an anxiety disorder, such as phobia, panic disorder or generalized anxiety disorder. Excludes obsessive-compulsive disorder."
33,"Population aged 12 and over who reported being a current smoker. Does not take into account the number of cigarettes smoked."
34,"Data collected for this indicator is based on the question referring to smoking of cigarettes only. Note that data on smoking alternative tobacco products is captured in a different module (TAL)."
35,"Daily smoker refers to those who reported smoking cigarettes every day."
36,"Statistics Canada has two main surveys that produce national and provincial smoking rates. The Canadian Community Health Survey (CCHS), and the Canadian Tobacco, Alcohol and Drugs Survey (CTADS), which replaces the Canadian Tobacco Use Monitoring Survey (CTUMS) beginning in 2013. Users should be aware of a number of differences between CCHS and CTADS. CCHS collects information from respondents aged 12 and over, CTADS collects information from respondents aged 15 and over; the two surveys use different sampling frames; the annual sample for CTADS is 20,000 compared to 65,000 for CCHS; in CCHS, smoking questions are asked in the context of a wide range of health-related behaviours whereas in CTADS, all questions are related to the use of multiple products and substances with addictive properties. Although these factors can influence the estimates produced at a single point in time, the trends produced by the two surveys have been noted to be very consistent over time. Rather than comparing smoking rates produced from the two surveys, Statistics Canada advises users to choose a single source, based on their objectives, and to use that source consistently."
37,"Occasional smoker refers to those who reported smoking cigarettes occasionally. This includes former daily smokers who now smoke occasionally."
38,"Questions on cannabis use were added to the Canadian Community Health Survey CCHS beginning in 2019."
39,"The percentage of daily or almost daily cannabis users is calculated out of the full population."
40,"Represents those who have ever tried an e-cigarette/vaping device."
41,"Represents those who have used an e-cigarette/vaping device within the past 30 days."
42,"Heavy drinking refers to males who reported having 5 or more drinks, or women who reported having 4 or more drinks, on one occasion, at least once a month in the past year."
43,"Canadians aged 18 and over. Based on the number of minutes of physical activity reported in the last 7 days. Indicates whether adults are physically active, meaning that they participate in at least 150 minutes of moderate to vigorous intensity aerobic physical activity per week, in bouts of 10 minutes or more. Moderate exercise is defined as an activity that causes a person to breathe harder and sweat at least a little."
44,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2019."
45,"Canadians aged 12 to 17. Based on the number of minutes of physical activity reported in the last 7 days. Indicates whether a youth is physically active by practicing an average of 60 minutes of moderate-to-vigorous physical activity each day. Moderate exercise is defined as an activity that causes a person to breathe harder and sweat at least a little."
46,"Based on information provided by females aged 15 to 55 who had a baby in the last 5 years."
47,"Initiated breastfeeding refers to mothers who breastfed or tried to breastfeed their last child, or gave breastmilk to their last child even if only for a short time."
48,"Exclusive breastfeeding refers to an infant receiving only breast milk, without any additional liquid (even water) or solid food."
49,"The numerator includes mothers who have exclusively breastfed for at least 6 months and who may or may not be still breastfeeding. The denominator includes all mothers who had a baby in the past 5 years but excludes mothers who were still breastfeeding and who had not introduced any other liquids or solid foods to the baby's feeds."
50,"Indicates the usual number of times (frequency) per day a person reported eating fruits and vegetables. Measure does not take into account the amount consumed. This includes pure fruit juice, frozen or canned fruits and vegetables, and dried fruit, but excludes fried potatoes."
51,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2018."
52,"Population aged 12 and over who reported their sense of belonging to their local community as being very strong or somewhat strong. Research shows a high correlation of sense of community-belonging with physical and mental health."
53,"Population aged 12 and over who reported being satisfied or very satisfied with their life in general. Life satisfaction is based on a self-reported score from 0 to 10 for how respondents feel about their life as a whole at the moment. Satisfied or very satisfied represents those who indicated a value of 6 or more out of 10."
54,"Population aged 12 and over who have a health care provider they regularly see or talk to when they need normal care or advice for their health."
55,"Beginning in 2022, this indicator is based on a modified version of the question used from 2015 to 2021. Respondents are asked which health care providers they regularly consult with. This indicator is based on those who answered: family doctor or general practitioner, medical specialist, nurse practitioner, or other."
56,"Population aged 12 and over who reported having consulted with a medical doctor in the past 12 months."
57,"Medical doctor includes family or general practitioners as well as specialists such as surgeons, allergists, orthopaedists, gynaecologists, urologists or psychiatrists. For population aged 12 to 17, includes pediatricians."
58,"Due to content changes, this indicator is now derived from data collected from an optional content module (based on provincial and territorial selection). This change occurred in 2017."
59,"Population aged 12 and over who reported having their last influenza immunization (flu shot) in the past 12 months."



"How to cite: Statistics Canada. Table 13-10-0096-01  Health characteristics, annual estimates, inactive"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310009601
