Geography,Sex,Fiscal year,Counts,"Rate (per 100,000)",Population
New Brunswick,Both sexes,2018-2019,2265.0,7585.0,16150.0
New Brunswick,Both sexes,2019-2020,2170.0,7208.0,16170.0
New Brunswick,Both sexes,2020-2021*,2070.0,6309.0,16260.0
New Brunswick,Both sexes,2021-2022*,0.0,0.0,0.0
New Brunswick,Both sexes,2022-2023*,0.0,0.0,0.0
Quebec,Both sexes,2015-2016,18430.0,5295.0,160570.0
Quebec,Both sexes,2016-2017,19355.0,5195.0,165475.0
Quebec,Both sexes,2017-2018,19980.0,5206.0,169935.0
Quebec,Both sexes,2018-2019,20455.0,5363.0,174290.0
Quebec,Both sexes,2019-2020,20725.0,5115.0,178345.0
Quebec,Both sexes,2020-2021*,21720.0,5076.0,180145.0
Quebec,Both sexes,2021-2022*,21855.0,5144.0,185120.0
Quebec,Both sexes,2022-2023*,23205.0,5250.0,191635.0
Ontario,Both sexes,2015-2016,31220.0,5636.0,272655.0
Ontario,Both sexes,2016-2017,32840.0,5753.0,278805.0
Ontario,Both sexes,2017-2018,34240.0,5727.0,286080.0
Ontario,Both sexes,2018-2019,34500.0,5675.0,292890.0
Ontario,Both sexes,2019-2020,35095.0,5799.0,300100.0
Ontario,Both sexes,2020-2021*,35980.0,5661.0,303025.0
Ontario,Both sexes,2021-2022*,37365.0,6047.0,309995.0
Ontario,Both sexes,2022-2023*,38780.0,5921.0,318715.0
Manitoba,Both sexes,2015-2016,3535.0,6916.0,27165.0
Manitoba,Both sexes,2016-2017,3630.0,7061.0,27240.0
Manitoba,Both sexes,2017-2018,3750.0,6560.0,27470.0
Manitoba,Both sexes,2018-2019,3490.0,6641.0,27500.0
Manitoba,Both sexes,2019-2020,3665.0,6731.0,28025.0
Manitoba,Both sexes,2020-2021*,3675.0,6976.0,28455.0
Manitoba,Both sexes,2021-2022*,3800.0,6983.0,29095.0
Manitoba,Both sexes,2022-2023*,3580.0,6736.0,29945.0
Saskatchewan,Both sexes,2015-2016,3215.0,6856.0,24830.0
Saskatchewan,Both sexes,2016-2017,3225.0,6856.0,24750.0
Saskatchewan,Both sexes,2017-2018,3190.0,7110.0,24715.0
Saskatchewan,Both sexes,2018-2019,3005.0,6635.0,24665.0
Saskatchewan,Both sexes,2019-2020,3130.0,6680.0,24595.0
Saskatchewan,Both sexes,2020-2021*,3120.0,6797.0,24230.0
Saskatchewan,Both sexes,2021-2022*,3335.0,7823.0,24150.0
Saskatchewan,Both sexes,2022-2023*,3330.0,7808.0,23800.0
Alberta,Both sexes,2015-2016,7830.0,5736.0,69090.0
Alberta,Both sexes,2016-2017,8110.0,5203.0,71190.0
Alberta,Both sexes,2017-2018,8400.0,5851.0,73320.0
Alberta,Both sexes,2018-2019,8170.0,5016.0,75775.0
Alberta,Both sexes,2019-2020,8210.0,4839.0,79070.0
Alberta,Both sexes,2020-2021*,9140.0,5731.0,80835.0
Alberta,Both sexes,2021-2022*,9410.0,5582.0,83265.0
Alberta,Both sexes,2022-2023*,10070.0,5650.0,87475.0
British Columbia,Both sexes,2015-2016,12280.0,4969.0,107635.0
British Columbia,Both sexes,2016-2017,13010.0,5116.0,111045.0
British Columbia,Both sexes,2017-2018,12875.0,4935.0,114560.0
British Columbia,Both sexes,2018-2019,12965.0,5164.0,118840.0
British Columbia,Both sexes,2019-2020,13340.0,4961.0,123265.0
British Columbia,Both sexes,2020-2021*,13865.0,5302.0,127480.0
British Columbia,Both sexes,2021-2022*,14940.0,5569.0,132835.0
British Columbia,Both sexes,2022-2023*,15290.0,5275.0,137225.0
Yukon Territory,Both sexes,2015-2016,65.0,4685.0,670.0
Yukon Territory,Both sexes,2016-2017,50.0,4531.0,715.0
Yukon Territory,Both sexes,2017-2018,60.0,3786.0,745.0
Yukon Territory,Both sexes,2018-2019,70.0,4108.0,810.0
Yukon Territory,Both sexes,2019-2020,0.0,0.0,0.0
Yukon Territory,Both sexes,2020-2021*,45.0,2764.0,910.0
Yukon Territory,Both sexes,2021-2022*,75.0,4171.0,995.0
Yukon Territory,Both sexes,2022-2023*,55.0,2675.0,1040.0
Northwest Territories,Both sexes,2015-2016,55.0,7867.0,460.0
Northwest Territories,Both sexes,2016-2017,50.0,6476.0,475.0
Northwest Territories,Both sexes,2017-2018,65.0,7181.0,505.0
Northwest Territories,Both sexes,2018-2019,0.0,0.0,0.0
Northwest Territories,Both sexes,2019-2020,55.0,6901.0,550.0
Northwest Territories,Both sexes,2020-2021*,50.0,8128.0,555.0
Northwest Territories,Both sexes,2021-2022*,65.0,4257.0,575.0
Northwest Territories,Both sexes,2022-2023*,0.0,0.0,0.0
Nunavut,Both sexes,2015-2016,0.0,0.0,0.0
Nunavut,Both sexes,2016-2017,40.0,9324.0,390.0
Nunavut,Both sexes,2017-2018,30.0,4692.0,405.0
Nunavut,Both sexes,2018-2019,40.0,8145.0,430.0
Nunavut,Both sexes,2019-2020,25.0,5669.0,425.0
Nunavut,Both sexes,2020-2021*,25.0,4002.0,435.0
Nunavut,Both sexes,2021-2022*,25.0,4694.0,455.0
Nunavut,Both sexes,2022-2023*,25.0,3390.0,480.0
