"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.10.1  Provincial government health expenditure by use of funds in millions of current dollars, British Columbia, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1985–1986,"1,398.1",342.8,829.4,80.1,131.7,84.9,103.0,—,148.4,—,"3,118.4",113.2,"3,231.6"
1986–1987,"1,553.9",373.5,893.1,87.6,158.0,88.8,101.1,—,146.5,—,"3,402.6",111.2,"3,513.8"
1987–1988,"1,684.1",365.7,942.2,82.5,152.0,99.2,100.4,—,163.4,—,"3,589.5",120.3,"3,709.8"
1988–1989,"1,765.0",480.8,"1,011.4",80.1,175.7,124.8,94.8,—,181.2,—,"3,913.9",157.8,"4,071.7"
1989–1990,"1,973.5",558.5,"1,073.5",91.1,203.5,150.9,109.6,—,216.4,—,"4,376.9",203.0,"4,580.0"
1990–1991,"2,197.0",647.3,"1,236.9",103.1,242.3,160.6,117.4,—,257.5,—,"4,962.0",223.1,"5,185.1"
1991–1992,"2,379.3",747.7,"1,349.9",128.9,286.4,181.1,125.7,—,306.4,—,"5,505.4",209.5,"5,714.8"
1992–1993,"2,566.7",800.6,"1,331.1",142.0,320.3,335.3,141.5,—,326.2,—,"5,963.5",217.8,"6,181.4"
1993–1994,"2,650.2",803.4,"1,444.9",147.5,354.5,382.3,118.6,—,361.4,—,"6,262.8",243.0,"6,505.8"
1994–1995,"2,733.6",921.9,"1,536.3",153.2,334.4,322.6,134.5,—,412.4,—,"6,548.8",262.2,"6,811.0"
1995–1996,"2,765.2",911.5,"1,598.1",153.5,354.5,444.3,185.2,—,403.2,—,"6,815.5",261.9,"7,077.5"
1996–1997,"2,832.8",972.2,"1,597.9",156.0,387.8,471.6,173.1,—,354.1,—,"6,945.4",267.0,"7,212.4"
1997–1998,"2,965.7","1,042.0","1,632.1",154.1,429.0,366.0,212.2,—,465.4,—,"7,266.5",230.7,"7,497.2"
1998–1999,"3,143.0","1,052.2","1,704.7",151.5,467.5,540.6,164.0,—,463.5,—,"7,687.0",205.0,"7,891.9"
1999–2000,"3,319.6","1,218.5","1,812.7",168.3,531.6,563.9,139.0,—,484.7,—,"8,238.3",315.8,"8,554.1"
2000–2001,"3,504.3","1,427.0","1,963.5",179.6,616.6,613.7,151.0,—,494.9,—,"8,950.5",391.9,"9,342.4"
2001–2002,"3,935.2","1,562.4","2,230.8",159.4,673.2,695.4,150.5,—,579.8,—,"9,986.8",392.9,"10,379.7"
2002–2003,"4,219.5","1,675.8","2,419.1",86.9,669.3,606.5,164.1,—,648.5,—,"10,489.7",420.8,"10,910.5"
2003–2004,"4,400.4","1,576.8","2,508.4",88.3,653.8,691.6,199.2,—,653.1,—,"10,771.5",503.9,"11,275.3"
2004–2005,"4,397.8","1,577.1","2,465.4",95.2,715.9,702.5,194.0,—,758.4,—,"10,906.3",618.3,"11,524.6"
2005–2006 ,"4,566.2","1,325.9","2,628.7",110.5,761.3,968.3,247.5,—,931.2,—,"11,539.6",763.3,"12,302.9"
2006–2007 ,"4,814.1","1,264.5","2,856.6",111.6,804.7,984.3,237.0,—,"1,080.3",—,"12,153.1",736.0,"12,889.1"
2007–2008,"5,126.2","1,148.8","3,062.8",116.2,832.6,"1,129.6",217.1,—,"1,338.4",—,"12,971.7",654.9,"13,626.6"
2008–2009,"5,693.1","1,136.1","3,202.6",132.6,863.8,"1,233.4",181.2,—,"1,411.0",—,"13,853.8",978.9,"14,832.7"
2009–2010,"5,893.7","1,169.5","3,348.4",143.6,889.5,"1,294.5",162.2,—,"1,465.4",—,"14,366.8",910.9,"15,277.7"
2010–2011 ,"6,572.5","1,038.9","3,517.4",151.8,942.6,"1,375.9",140.5,—,"1,316.7",—,"15,056.2","1,071.9","16,128.1"
2011–2012,"6,244.4","1,771.1","3,735.0",162.6,941.9,"1,342.7",190.3,—,"1,370.0",—,"15,758.0",858.1,"16,616.1"
2012–2013 ,"6,499.2","2,196.2","3,715.7",166.6,"1,010.3","1,326.5",171.3,"1,296.5",437.4,—,"16,819.9","1,068.5","17,888.4"
2013–2014 ,"6,662.7","2,330.9","3,911.1",169.8,981.5,"1,347.6",183.5,"1,347.0",391.0,—,"17,325.0",653.8,"17,978.8"
2014–2015,"6,930.5","2,358.5","3,940.3",169.1,981.3,"1,370.8",211.4,"1,409.8",524.4,—,"17,896.1",880.0,"18,776.1"
2015–2016,"7,234.8","2,413.7","4,147.2",176.4,"1,072.7","1,407.5",219.3,"1,455.4",398.2,—,"18,525.2",911.1,"19,436.3"
2016–2017,"7,463.4","2,512.7","4,347.5",178.3,"1,107.3","1,464.0",231.7,"1,542.9",441.6,—,"19,289.4","1,029.7","20,319.2"
2017–2018,"7,785.3","2,609.1","4,434.5",195.5,"1,129.7","1,543.9",252.1,"1,659.5",520.3,—,"20,129.9",849.7,"20,979.6"
2018–2019,"8,193.4","2,736.4","4,677.7",201.8,"1,151.1","1,610.5",244.3,"1,778.1",523.5,—,"21,116.8",844.2,"21,961.0"
2019–2020,"8,739.6","2,963.1","4,994.1",203.9,"1,148.4","1,733.8",252.5,"2,053.0",509.9,0.4,"22,598.4",837.3,"23,435.7"
2020–2021,"8,987.0","3,433.0","4,992.6",182.0,"1,260.7","1,812.8",263.8,"2,264.4",200.7,"2,369.5","25,766.6","1,015.6","26,782.2"
2021–2022,"9,327.6","3,715.7","5,593.3",210.9,"1,239.7","1,940.0",291.2,"2,497.3",485.0,"2,202.9","27,503.6","1,757.1","29,260.7"
2022–2023,"10,474.3","4,012.3","5,750.5",212.0,"1,300.9","2,647.8",347.5,"2,780.3",850.5,—,"28,376.1","2,008.9","30,385.0"
2023–2024 f,"10,919.6","4,152.1","6,947.4",247.0,"1,344.9","2,592.8",363.2,"2,871.8",887.0,—,"30,325.8","3,272.8","33,598.6"
2024–2025 f,"12,777.4","4,720.1","7,511.3",262.0,"1,531.4","3,021.9",412.4,"3,265.8","1,025.6",—,"34,527.7","3,233.2","37,760.9"
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,33.8,50.9,28.9,41.9,37.0,40.1,14.6,—,77.9,—,34.3,-5.3,33.1
1976–1977,11.4,15.2,16.8,22.2,12.7,2.9,22.2,—,49.2,—,13.9,-50.8,12.5
1977–1978,10.3,12.2,5.5,-0.3,12.8,43.2,-2.5,—,14.2,—,10.1,-56.1,9.5
1978–1979,0.5,76.0,12.9,44.3,23.9,28.2,24.9,—,13.1,—,12.9,765.6,15.8
1979–1980,12.5,22.3,14.3,11.4,23.9,2.4,30.0,—,20.2,—,14.4,-11.4,13.7
1980–1981,35.0,24.8,16.1,44.3,17.0,15.5,10.6,—,29.9,—,26.8,47.7,27.2
1981–1982,15.0,-1.9,26.1,149.0,28.7,26.6,7.4,—,74.4,—,21.3,37.8,21.8
1982–1983,11.3,27.0,20.6,-28.3,30.3,-38.5,100.7,—,6.0,—,12.6,12.0,12.6
1983–1984,5.1,3.1,10.1,-16.8,18.0,-1.4,2.9,—,15.6,—,6.1,15.4,6.4
1984–1985,2.9,6.6,2.4,3.6,10.9,13.1,10.0,—,4.7,—,4.1,15.0,4.4
1985–1986,3.5,2.4,2.2,7.5,10.9,2.2,5.8,—,14.7,—,3.9,6.3,4.0
1986–1987,11.1,9.0,7.7,9.3,19.9,4.6,-1.8,—,-1.3,—,9.1,-1.7,8.7
1987–1988,8.4,-2.1,5.5,-5.8,-3.8,11.8,-0.7,—,11.5,—,5.5,8.2,5.6
1988–1989,4.8,31.5,7.3,-3.0,15.6,25.8,-5.5,—,10.9,—,9.0,31.2,9.8
1989–1990,11.8,16.1,6.1,13.8,15.8,20.8,15.6,—,19.4,—,11.8,28.7,12.5
1990–1991,11.3,15.9,15.2,13.1,19.1,6.5,7.1,—,19.0,—,13.4,9.9,13.2
1991–1992,8.3,15.5,9.1,25.1,18.2,12.8,7.0,—,19.0,—,11.0,-6.1,10.2
1992–1993,7.9,7.1,-1.4,10.2,11.8,85.1,12.6,—,6.5,—,8.3,4.0,8.2
1993–1994,3.3,0.4,8.6,3.9,10.7,14.0,-16.1,—,10.8,—,5.0,11.5,5.2
1994–1995,3.1,14.8,6.3,3.9,-5.7,-15.6,13.3,—,14.1,—,4.6,7.9,4.7
1995–1996,1.2,-1.1,4.0,0.2,6.0,37.7,37.7,—,-2.2,—,4.1,-0.1,3.9
1996–1997,2.4,6.7,0.0,1.6,9.4,6.1,-6.5,—,-12.2,—,1.9,1.9,1.9
1997–1998,4.7,7.2,2.1,-1.2,10.6,-22.4,22.6,—,31.5,—,4.6,-13.6,3.9
1998–1999,6.0,1.0,4.4,-1.7,9.0,47.7,-22.7,—,-0.4,—,5.8,-11.1,5.3
1999–2000,5.6,15.8,6.3,11.1,13.7,4.3,-15.3,—,4.6,—,7.2,54.1,8.4
2000–2001,5.6,17.1,8.3,6.7,16.0,8.8,8.7,—,2.1,—,8.6,24.1,9.2
2001–2002,12.3,9.5,13.6,-11.2,9.2,13.3,-0.3,—,17.2,—,11.6,0.3,11.1
2002–2003,7.2,7.3,8.4,-45.5,-0.6,-12.8,9.0,—,11.8,—,5.0,7.1,5.1
2003–2004,4.3,-5.9,3.7,1.6,-2.3,14.0,21.4,—,0.7,—,2.7,19.7,3.3
2004–2005,-0.1,0.0,-1.7,7.8,9.5,1.6,-2.6,—,16.1,—,1.3,22.7,2.2
2005–2006 ,3.8,-15.9,6.6,16.1,6.3,37.8,27.6,—,22.8,—,5.8,23.4,6.8
2006–2007 ,5.4,-4.6,8.7,1.0,5.7,1.7,-4.3,—,16.0,—,5.3,-3.6,4.8
2007–2008,6.5,-9.1,7.2,4.1,3.5,14.8,-8.4,—,23.9,—,6.7,-11.0,5.7
2008–2009,11.1,-1.1,4.6,14.1,3.7,9.2,-16.5,—,5.4,—,6.8,49.5,8.9
2009–2010,3.5,2.9,4.6,8.3,3.0,5.0,-10.5,—,3.9,—,3.7,-6.9,3.0
2010–2011 ,11.5,-11.2,5.0,5.7,6.0,6.3,-13.4,—,-10.1,—,4.8,17.7,5.6
2011–2012,-5.0,70.5,6.2,7.2,-0.1,-2.4,35.5,—,4.1,—,4.7,-19.9,3.0
2012–2013 ,4.1,24.0,-0.5,2.5,7.3,-1.2,-10.0,—,-68.1,—,6.7,24.5,7.7
2013–2014 ,2.5,6.1,5.3,1.9,-2.9,1.6,7.1,3.9,-10.6,—,3.0,-38.8,0.5
2014–2015,4.0,1.2,0.7,-0.4,0.0,1.7,15.2,4.7,34.1,—,3.3,34.6,4.4
2015–2016,4.4,2.3,5.3,4.3,9.3,2.7,3.7,3.2,-24.1,—,3.5,3.5,3.5
2016–2017,3.2,4.1,4.8,1.1,3.2,4.0,5.7,6.0,10.9,—,4.1,13.0,4.5
2017–2018,4.3,3.8,2.0,9.6,2.0,5.5,8.8,7.6,17.8,—,4.4,-17.5,3.3
2018–2019,5.2,4.9,5.5,3.2,1.9,4.3,-3.1,7.1,0.6,—,4.9,-0.6,4.7
2019–2020,6.7,8.3,6.8,1.0,-0.2,7.7,3.3,15.5,-2.6,—,7.0,-0.8,6.7
2020–2021,2.8,15.9,0.0,-10.7,9.8,4.6,4.5,10.3,-60.6,"632,307.6",14.0,21.3,14.3
2021–2022,3.8,8.2,12.0,15.9,-1.7,7.0,10.4,10.3,141.7,-7.0,6.7,73.0,9.3
2022–2023,12.3,8.0,2.8,0.5,4.9,36.5,19.4,11.3,75.4,—,3.2,14.3,3.8
2023–2024 f,4.3,3.5,20.8,16.5,3.4,-2.1,4.5,3.3,4.3,—,6.9,62.9,10.6
2024–2025 f,17.0,13.7,8.1,6.1,13.9,16.5,13.5,13.7,15.6,—,13.9,-1.2,12.4
Notes,,,,,,,,,,,,,
"f: Forecast
Sub-total equals Total minus Capital.
Prior to 2012-2013, home and community care spending data cannot be separated out and is embedded in Other health spending: net of HCC.
COVID-19 Response Funding: Government-budgeted funding for health-related activities as a time-limited emergency response to the COVID-19 pandemic. See more details in the NHEX Methodology Notes.
The federal COVID-19 response funding transfers to the provinces/territories are included in the provincial/territorial government sector.",,,,,,,,,,,,,
Source,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,
"Table F.3.10.2  Percentage distribution of provincial government health expenditure by use of funds, British Columbia, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Percentage by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,52.2,6.3,26.8,1.6,2.3,4.1,2.2,—,1.5,—,97.0,3.0,100.0
1975–1976,52.5,7.1,25.9,1.7,2.4,4.3,1.9,—,1.9,—,97.9,2.1,100.0
1976–1977,52.0,7.3,26.9,1.9,2.4,4.0,2.0,—,2.6,—,99.1,0.9,100.0
1977–1978,52.4,7.5,25.9,1.7,2.5,5.2,1.8,—,2.7,—,99.6,0.4,100.0
1978–1979,45.5,11.3,25.3,2.1,2.6,5.7,2.0,—,2.6,—,97.2,2.8,100.0
1979–1980,45.0,12.2,25.4,2.1,2.9,5.2,2.2,—,2.8,—,97.8,2.2,100.0
1980–1981,47.8,12.0,23.2,2.4,2.7,4.7,2.0,—,2.8,—,97.5,2.5,100.0
1981–1982,45.1,9.6,24.0,4.8,2.8,4.9,1.7,—,4.1,—,97.1,2.9,100.0
1982–1983,44.6,10.9,25.7,3.1,3.2,2.7,3.1,—,3.8,—,97.1,2.9,100.0
1983–1984,44.1,10.6,26.6,2.4,3.6,2.5,3.0,—,4.2,—,96.9,3.1,100.0
1984–1985,43.5,10.8,26.1,2.4,3.8,2.7,3.1,—,4.2,—,96.6,3.4,100.0
1985–1986,43.3,10.6,25.7,2.5,4.1,2.6,3.2,—,4.6,—,96.5,3.5,100.0
1986–1987,44.2,10.6,25.4,2.5,4.5,2.5,2.9,—,4.2,—,96.8,3.2,100.0
1987–1988,45.4,9.9,25.4,2.2,4.1,2.7,2.7,—,4.4,—,96.8,3.2,100.0
1988–1989,43.3,11.8,24.8,2.0,4.3,3.1,2.3,—,4.5,—,96.1,3.9,100.0
1989–1990,43.1,12.2,23.4,2.0,4.4,3.3,2.4,—,4.7,—,95.6,4.4,100.0
1990–1991,42.4,12.5,23.9,2.0,4.7,3.1,2.3,—,5.0,—,95.7,4.3,100.0
1991–1992,41.6,13.1,23.6,2.3,5.0,3.2,2.2,—,5.4,—,96.3,3.7,100.0
1992–1993,41.5,13.0,21.5,2.3,5.2,5.4,2.3,—,5.3,—,96.5,3.5,100.0
1993–1994,40.7,12.3,22.2,2.3,5.4,5.9,1.8,—,5.6,—,96.3,3.7,100.0
1994–1995,40.1,13.5,22.6,2.2,4.9,4.7,2.0,—,6.1,—,96.2,3.8,100.0
1995–1996,39.1,12.9,22.6,2.2,5.0,6.3,2.6,—,5.7,—,96.3,3.7,100.0
1996–1997,39.3,13.5,22.2,2.2,5.4,6.5,2.4,—,4.9,—,96.3,3.7,100.0
1997–1998,39.6,13.9,21.8,2.1,5.7,4.9,2.8,—,6.2,—,96.9,3.1,100.0
1998–1999,39.8,13.3,21.6,1.9,5.9,6.8,2.1,—,5.9,—,97.4,2.6,100.0
1999–2000,38.8,14.2,21.2,2.0,6.2,6.6,1.6,—,5.7,—,96.3,3.7,100.0
2000–2001,37.5,15.3,21.0,1.9,6.6,6.6,1.6,—,5.3,—,95.8,4.2,100.0
2001–2002,37.9,15.1,21.5,1.5,6.5,6.7,1.5,—,5.6,—,96.2,3.8,100.0
2002–2003,38.7,15.4,22.2,0.8,6.1,5.6,1.5,—,5.9,—,96.1,3.9,100.0
2003–2004,39.0,14.0,22.2,0.8,5.8,6.1,1.8,—,5.8,—,95.5,4.5,100.0
2004–2005,38.2,13.7,21.4,0.8,6.2,6.1,1.7,—,6.6,—,94.6,5.4,100.0
2005–2006 ,37.1,10.8,21.4,0.9,6.2,7.9,2.0,—,7.6,—,93.8,6.2,100.0
2006–2007 ,37.3,9.8,22.2,0.9,6.2,7.6,1.8,—,8.4,—,94.3,5.7,100.0
2007–2008,37.6,8.4,22.5,0.9,6.1,8.3,1.6,—,9.8,—,95.2,4.8,100.0
2008–2009,38.4,7.7,21.6,0.9,5.8,8.3,1.2,—,9.5,—,93.4,6.6,100.0
2009–2010,38.6,7.7,21.9,0.9,5.8,8.5,1.1,—,9.6,—,94.0,6.0,100.0
2010–2011 ,40.8,6.4,21.8,0.9,5.8,8.5,0.9,—,8.2,—,93.4,6.6,100.0
2011–2012,37.6,10.7,22.5,1.0,5.7,8.1,1.1,—,8.2,—,94.8,5.2,100.0
2012–2013 ,36.3,12.3,20.8,0.9,5.6,7.4,1.0,7.2,2.4,—,94.0,6.0,100.0
2013–2014 ,37.1,13.0,21.8,0.9,5.5,7.5,1.0,7.5,2.2,—,96.4,3.6,100.0
2014–2015,36.9,12.6,21.0,0.9,5.2,7.3,1.1,7.5,2.8,—,95.3,4.7,100.0
2015–2016,37.2,12.4,21.3,0.9,5.5,7.2,1.1,7.5,2.0,—,95.3,4.7,100.0
2016–2017,36.7,12.4,21.4,0.9,5.4,7.2,1.1,7.6,2.2,—,94.9,5.1,100.0
2017–2018,37.1,12.4,21.1,0.9,5.4,7.4,1.2,7.9,2.5,—,95.9,4.1,100.0
2018–2019,37.3,12.5,21.3,0.9,5.2,7.3,1.1,8.1,2.4,—,96.2,3.8,100.0
2019–2020,37.3,12.6,21.3,0.9,4.9,7.4,1.1,8.8,2.2,0.0,96.4,3.6,100.0
2020–2021,33.6,12.8,18.6,0.7,4.7,6.8,1.0,8.5,0.7,8.8,96.2,3.8,100.0
2021–2022,31.9,12.7,19.1,0.7,4.2,6.6,1.0,8.5,1.7,7.5,94.0,6.0,100.0
2022–2023,34.5,13.2,18.9,0.7,4.3,8.7,1.1,9.2,2.8,—,93.4,6.6,100.0
2023–2024 f,32.5,12.4,20.7,0.7,4.0,7.7,1.1,8.5,2.6,—,90.3,9.7,100.0
2024–2025 f,33.8,12.5,19.9,0.7,4.1,8.0,1.1,8.6,2.7,—,91.4,8.6,100.0
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,0.5,13.4,-3.1,6.7,2.9,5.3,-13.9,—,33.7,—,0.9,-28.8,—
1976–1977,-1.0,2.4,3.8,8.6,0.2,-8.6,8.5,—,32.6,—,1.2,-56.3,—
1977–1978,0.7,2.4,-3.7,-9.0,3.0,30.8,-11.0,—,4.3,—,0.6,-59.9,—
1978–1979,-13.2,52.0,-2.4,24.7,7.0,10.7,7.9,—,-2.3,—,-2.4,647.7,—
1979–1980,-1.0,7.6,0.5,-2.0,9.1,-9.9,14.4,—,5.7,—,0.6,-22.0,—
1980–1981,6.1,-1.9,-8.7,13.4,-8.0,-9.2,-13.1,—,2.1,—,-0.4,16.1,—
1981–1982,-5.5,-19.5,3.5,104.5,5.7,4.0,-11.8,—,43.3,—,-0.3,13.2,—
1982–1983,-1.2,12.8,7.1,-36.3,15.8,-45.4,78.3,—,-5.9,—,0.0,-0.5,—
1983–1984,-1.2,-3.1,3.5,-21.8,10.9,-7.3,-3.3,—,8.7,—,-0.2,8.4,—
1984–1985,-1.4,2.1,-1.9,-0.7,6.2,8.3,5.4,—,0.3,—,-0.3,10.1,—
1985–1986,-0.5,-1.6,-1.8,3.4,6.6,-1.8,1.8,—,10.3,—,-0.1,2.2,—
1986–1987,2.2,0.2,-1.0,0.6,10.3,-3.8,-9.7,—,-9.2,—,0.3,-9.6,—
1987–1988,2.7,-7.3,-0.1,-10.8,-8.9,5.8,-6.0,—,5.6,—,-0.1,2.4,—
1988–1989,-4.5,19.8,-2.2,-11.6,5.4,14.6,-13.9,—,1.1,—,-0.7,19.5,—
1989–1990,-0.6,3.3,-5.6,1.2,2.9,7.4,2.8,—,6.1,—,-0.6,14.4,—
1990–1991,-1.7,2.4,1.8,-0.1,5.2,-6.0,-5.4,—,5.1,—,0.1,-2.9,—
1991–1992,-1.7,4.8,-1.0,13.5,7.3,2.3,-2.9,—,8.0,—,0.7,-14.8,—
1992–1993,-0.3,-1.0,-8.8,1.9,3.4,71.2,4.1,—,-1.6,—,0.1,-3.9,—
1993–1994,-1.9,-4.7,3.1,-1.3,5.2,8.3,-20.3,—,5.3,—,-0.2,6.0,—
1994–1995,-1.5,9.6,1.6,-0.8,-9.9,-19.4,8.3,—,9.0,—,-0.1,3.1,—
1995–1996,-2.6,-4.8,0.1,-3.6,2.0,32.5,32.5,—,-5.9,—,0.2,-3.9,—
1996–1997,0.5,4.7,-1.9,-0.3,7.3,4.2,-8.3,—,-13.8,—,0.0,0.0,—
1997–1998,0.7,3.1,-1.7,-5.0,6.4,-25.3,17.9,—,26.5,—,0.6,-16.9,—
1998–1999,0.7,-4.1,-0.8,-6.6,3.5,40.3,-26.6,—,-5.4,—,0.5,-15.6,—
1999–2000,-2.6,6.8,-1.9,2.5,4.9,-3.8,-21.8,—,-3.5,—,-1.1,42.2,—
2000–2001,-3.3,7.2,-0.8,-2.3,6.2,-0.4,-0.5,—,-6.5,—,-0.5,13.6,—
2001–2002,1.1,-1.5,2.3,-20.1,-1.7,2.0,-10.3,—,5.5,—,0.4,-9.8,—
2002–2003,2.0,2.0,3.2,-48.1,-5.4,-17.0,3.7,—,6.4,—,-0.1,1.9,—
2003–2004,0.9,-9.0,0.3,-1.7,-5.5,10.3,17.4,—,-2.6,—,-0.6,15.9,—
2004–2005,-2.2,-2.1,-3.8,5.5,7.1,-0.6,-4.7,—,13.6,—,-0.9,20.1,—
2005–2006 ,-2.7,-21.2,-0.1,8.8,-0.4,29.1,19.5,—,15.0,—,-0.9,15.6,—
2006–2007 ,0.6,-9.0,3.7,-3.6,0.9,-3.0,-8.6,—,10.7,—,0.5,-8.0,—
2007–2008,0.7,-14.1,1.4,-1.5,-2.1,8.5,-13.3,—,17.2,—,1.0,-15.8,—
2008–2009 ,2.0,-9.1,-3.9,4.9,-4.7,0.3,-23.3,—,-3.1,—,-1.9,37.3,—
2009–2010 ,0.5,-0.1,1.5,5.1,0.0,1.9,-13.1,—,0.8,—,0.7,-9.7,—
2010–2011 ,5.6,-15.9,-0.5,0.1,0.4,0.7,-18.0,—,-14.9,—,-0.7,11.5,—
2011–2012,-7.8,65.5,3.1,4.0,-3.0,-5.3,31.5,—,1.0,—,1.6,-22.3,—
2012–2013 ,-3.3,15.2,-7.6,-4.8,-0.4,-8.2,-16.4,—,-70.3,—,-0.9,15.7,—
2013–2014 ,2.0,5.6,4.7,1.4,-3.3,1.1,6.6,3.4,-11.1,—,2.5,-39.1,—
2014–2015,-0.4,-3.1,-3.5,-4.6,-4.3,-2.6,10.3,0.2,28.4,—,-1.1,28.9,—
2015–2016,0.8,-1.1,1.7,0.7,5.6,-0.8,0.2,-0.3,-26.6,—,0.0,0.0,—
2016–2017,-1.3,-0.4,0.3,-3.3,-1.3,-0.5,1.1,1.4,6.1,—,-0.4,8.1,—
2017–2018,1.0,0.6,-1.2,6.2,-1.2,2.1,5.4,4.2,14.1,—,1.1,-20.1,—
2018–2019,0.5,0.2,0.8,-1.4,-2.7,-0.3,-7.4,2.4,-3.9,—,0.2,-5.1,—
2019–2020,0.0,1.5,0.0,-5.3,-6.5,0.9,-3.2,8.2,-8.7,—,0.3,-7.1,—
