"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.4.1  Provincial government health expenditure by use of funds in millions of current dollars, New Brunswick, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
2006–2007 ,"1,108.3",250.6,426.3,4.5,148.1,84.5,33.8,—,144.4,—,"2,200.6",178.6,"2,379.2"
2007–2008,"1,212.2",287.7,453.2,4.5,155.5,91.1,37.7,—,162.0,—,"2,403.9",112.3,"2,516.2"
2008–2009 ,"1,298.0",308.4,489.9,5.8,162.2,100.3,33.8,—,173.0,—,"2,571.4",97.1,"2,668.5"
2009–2010,"1,370.5",339.9,524.1,5.9,177.8,112.8,35.3,—,183.3,—,"2,749.6",77.0,"2,826.6"
2010–2011 ,"1,420.5",373.3,546.6,6.5,189.5,107.5,37.9,—,192.6,—,"2,874.4",83.5,"2,957.8"
2011–2012,"1,425.5",392.9,581.4,6.7,196.5,124.3,29.6,—,198.0,—,"2,954.9",165.2,"3,120.1"
2012–2013,"1,452.3",412.9,595.3,7.3,183.9,125.7,24.3,139.3,125.9,—,"3,066.9",86.2,"3,153.2"
2013–2014 ,"1,462.2",405.7,578.1,8.5,172.4,132.8,23.3,142.7,123.9,—,"3,049.5",77.5,"3,127.1"
2014–2015,"1,443.1",410.6,594.5,8.3,179.1,131.3,22.6,145.4,131.7,—,"3,066.5",69.3,"3,135.8"
2015–2016,"1,475.1",406.8,615.2,8.6,189.9,131.2,25.0,153.4,132.6,—,"3,138.0",107.2,"3,245.2"
2016–2017,"1,422.9",423.4,635.3,9.0,197.9,138.7,30.3,158.9,136.3,—,"3,152.6",124.2,"3,276.9"
2017–2018,"1,456.8",422.5,652.4,9.4,203.3,151.1,14.4,166.8,143.4,—,"3,220.0",146.2,"3,366.2"
2018–2019,"1,511.0",425.3,666.3,10.0,203.6,153.4,13.6,176.8,148.4,—,"3,308.3",140.1,"3,448.4"
2019–2020,"1,565.0",444.9,682.8,10.0,220.8,160.2,16.7,183.2,154.1,3.6,"3,441.3",99.3,"3,540.6"
2020–2021,"1,527.5",438.0,686.9,7.9,222.9,161.7,23.1,189.8,161.4,160.5,"3,579.9",110.2,"3,690.0"
2021–2022,"1,707.6",448.2,707.3,8.6,209.9,179.4,24.4,200.6,171.8,265.8,"3,923.6",119.6,"4,043.2"
2022–2023,"1,987.1",501.9,764.2,10.1,252.5,282.1,29.0,273.0,147.7,—,"4,247.5",136.4,"4,384.0"
2023–2024 f,"2,097.4",550.1,848.6,12.0,252.1,301.4,31.4,273.2,144.0,—,"4,510.2",173.0,"4,683.1"
2024–2025 f,"2,087.6",600.6,849.8,13.5,262.7,256.7,37.4,264.4,204.6,—,"4,577.3",179.2,"4,756.5"
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,23.0,275.2,22.5,17.2,212.7,12.1,30.0,—,24.8,—,30.9,-3.5,26.5
1976–1977,18.7,56.3,5.2,-22.6,75.2,31.6,4.8,—,1.3,—,20.4,-13.5,17.0
1977–1978,8.4,20.2,11.4,16.3,21.0,14.4,-1.1,—,10.1,—,10.5,13.0,10.7
1978–1979,8.5,13.7,9.8,11.3,18.5,36.2,-5.8,—,14.9,—,10.3,4.3,9.9
1979–1980,6.4,32.5,14.5,16.6,21.5,12.0,23.0,—,55.3,—,11.6,37.3,13.4
1980–1981,16.8,25.2,23.3,11.2,13.6,21.5,44.8,—,119.2,—,19.5,7.8,18.5
1981–1982,20.9,24.1,26.4,48.7,29.2,18.6,13.4,—,108.5,—,22.7,10.7,21.8
1982–1983,17.5,25.1,27.2,42.5,28.1,17.9,34.6,—,60.1,—,21.2,19.4,21.1
1983–1984,3.9,5.6,12.8,8.9,17.1,5.8,-13.6,—,22.2,—,6.1,-14.3,4.7
1984–1985,7.9,5.0,4.1,68.6,8.7,8.1,10.2,—,59.0,—,7.7,10.5,7.8
1985–1986,4.2,4.6,9.5,6.7,16.2,3.1,8.3,—,18.4,—,6.0,-7.1,5.2
1986–1987,4.1,-5.5,7.3,1.1,17.1,3.6,-5.7,—,13.9,—,4.0,69.5,7.3
1987–1988,10.0,3.7,10.2,6.3,16.7,0.9,-6.0,—,24.8,—,9.3,34.3,11.3
1988–1989,8.1,7.8,10.3,4.1,1.6,6.6,6.2,—,19.0,—,8.2,-6.0,6.8
1989–1990,9.8,6.0,9.4,1.4,10.9,-2.3,53.0,—,14.4,—,9.4,3.6,8.9
1990–1991,9.4,5.4,0.6,13.1,10.7,6.4,13.2,—,74.6,—,8.8,-10.7,7.2
1991–1992,6.0,3.7,10.0,8.7,5.9,0.4,-4.0,—,8.9,—,6.2,-25.9,4.0
1992–1993,5.7,19.1,1.0,-13.5,-7.0,-23.8,4.0,—,2.1,—,4.4,-16.2,3.4
1993–1994,-3.2,3.0,2.2,-27.6,-4.8,60.3,7.9,—,22.8,—,0.7,-1.6,0.6
1994–1995,1.9,1.0,5.7,5.0,-0.3,2.1,0.2,—,2.0,—,2.3,39.6,3.8
1995–1996,-0.1,-1.1,0.0,0.5,5.7,20.4,1.0,—,2.1,—,0.9,32.5,2.5
1996–1997,2.0,0.2,3.1,-3.8,-9.7,-2.4,-1.0,—,4.3,—,1.2,-22.1,-0.3
1997–1998,-2.5,3.7,5.1,9.6,7.0,4.5,11.0,—,3.4,—,0.9,-39.5,-1.3
1998–1999,6.1,4.8,4.0,-11.0,11.9,6.1,18.8,—,24.8,—,6.8,-15.6,6.1
1999–2000,8.8,5.0,9.9,-6.6,10.7,2.8,6.7,—,18.4,—,8.8,-1.2,8.6
2000–2001,6.6,3.4,4.0,1.0,13.3,11.2,-5.8,—,9.6,—,6.2,30.5,6.8
2001–2002,6.7,7.0,11.4,-0.8,15.2,5.4,24.8,—,4.8,—,8.2,29.6,8.8
2002–2003,4.7,4.7,5.7,-0.2,11.8,-5.4,12.4,—,6.1,—,5.1,-5.9,4.8
2003–2004,6.3,3.4,10.2,6.6,10.6,10.3,-6.1,—,3.9,—,6.7,28.5,7.4
2004–2005,8.3,4.9,8.9,-5.2,11.0,2.2,-1.9,—,8.2,—,7.8,50.4,9.3
2005–2006 ,5.5,8.0,4.6,7.8,8.7,25.3,-3.2,—,13.5,—,6.8,49.2,8.9
2006–2007 ,7.0,16.0,7.3,-1.7,7.5,3.2,13.5,—,16.1,—,8.5,19.8,9.3
2007–2008,9.4,14.8,6.3,-2.0,5.0,7.7,11.7,—,12.2,—,9.2,-37.1,5.8
2008–2009 ,7.1,7.2,8.1,30.7,4.3,10.1,-10.5,—,6.8,—,7.0,-13.5,6.1
2009–2010,5.6,10.2,7.0,1.1,9.6,12.5,4.5,—,5.9,—,6.9,-20.7,5.9
2010–2011 ,3.6,9.8,4.3,11.2,6.6,-4.7,7.4,—,5.1,—,4.5,8.4,4.6
2011–2012 ,0.4,5.3,6.4,2.2,3.7,15.6,-21.8,—,2.8,—,2.8,97.9,5.5
2012–2013 ,1.9,5.1,2.4,9.1,-6.4,1.2,-17.9,—,-36.4,—,3.8,-47.8,1.1
2013–2014 ,0.7,-1.8,-2.9,16.0,-6.2,5.7,-4.3,2.5,-1.6,—,-0.6,-10.1,-0.8
2014–2015,-1.3,1.2,2.8,-2.0,3.9,-1.1,-3.1,1.9,6.3,—,0.6,-10.6,0.3
2015–2016,2.2,-0.9,3.5,4.3,6.0,-0.1,10.9,5.5,0.7,—,2.3,54.7,3.5
2016–2017,-3.5,4.1,3.3,3.6,4.2,5.6,21.0,3.6,2.8,—,0.5,15.9,1.0
2017–2018,2.4,-0.2,2.7,4.6,2.7,9.0,-52.6,4.9,5.2,—,2.1,17.7,2.7
2018–2019,3.7,0.6,2.1,6.7,0.1,1.5,-4.9,6.0,3.4,—,2.7,-4.2,2.4
2019–2020,3.6,4.6,2.5,-0.3,8.4,4.4,22.1,3.7,3.9,—,4.0,-29.1,2.7
2020–2021,-2.4,-1.6,0.6,-21.0,1.0,1.0,38.9,3.6,4.8,"4,298.4",4.0,11.0,4.2
2021–2022,11.8,2.3,3.0,9.4,-5.9,10.9,5.6,5.7,6.4,65.7,9.6,8.5,9.6
2022–2023,16.4,12.0,8.0,17.2,20.3,57.2,18.6,36.1,-14.0,—,8.3,14.1,8.4
2023–2024 f,5.5,9.6,11.0,19.2,-0.2,6.8,8.2,0.1,-2.5,—,6.2,26.8,6.8
2024–2025 f,-0.5,9.2,0.1,12.6,4.2,-14.8,19.1,-3.2,42.1,—,1.5,3.6,1.6
Notes,,,,,,,,,,,,,
"f: Forecast
Sub-total equals Total minus Capital.
Prior to 2012-2013, home and community care spending data cannot be separated out and is embedded in Other health spending: net of HCC.
COVID-19 Response Funding: Government-budgeted funding for health-related activities as a time-limited emergency response to the COVID-19 pandemic. See more details in the NHEX Methodology Notes.
The federal COVID-19 response funding transfers to the provinces/territories are included in the provincial/territorial government sector.",,,,,,,,,,,,,
Source,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,
"Table F.3.4.2  Percentage distribution of provincial government health expenditure by use of funds, New Brunswick, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Percentage by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,63.2,2.3,15.5,0.5,0.8,3.1,1.7,—,0.1,—,87.1,12.9,100.0
1975–1976,61.5,6.8,15.0,0.5,1.9,2.7,1.7,—,0.1,—,90.2,9.8,100.0
1976–1977,62.3,9.1,13.5,0.3,2.9,3.1,1.6,—,0.1,—,92.8,7.2,100.0
1977–1978,61.1,9.8,13.6,0.3,3.1,3.2,1.4,—,0.1,—,92.6,7.4,100.0
1978–1979,60.3,10.2,13.5,0.3,3.4,3.9,1.2,—,0.1,—,93.0,7.0,100.0
1979–1980,56.6,11.9,13.7,0.3,3.6,3.9,1.3,—,0.2,—,91.5,8.5,100.0
1980–1981,55.8,12.6,14.2,0.3,3.5,4.0,1.6,—,0.3,—,92.3,7.7,100.0
1981–1982,55.4,12.8,14.8,0.4,3.7,3.9,1.5,—,0.6,—,93.0,7.0,100.0
1982–1983,53.8,13.3,15.5,0.4,3.9,3.8,1.6,—,0.7,—,93.1,6.9,100.0
1983–1984,53.4,13.4,16.7,0.5,4.4,3.8,1.3,—,0.9,—,94.3,5.7,100.0
1984–1985,53.4,13.0,16.2,0.7,4.4,3.8,1.4,—,1.3,—,94.2,5.8,100.0
1985–1986,52.9,12.9,16.8,0.7,4.9,3.7,1.4,—,1.5,—,94.9,5.1,100.0
1986–1987,51.3,11.4,16.8,0.7,5.3,3.6,1.2,—,1.5,—,91.9,8.1,100.0
1987–1988,50.7,10.6,16.7,0.7,5.6,3.3,1.1,—,1.7,—,90.2,9.8,100.0
1988–1989,51.3,10.7,17.2,0.6,5.3,3.3,1.0,—,1.9,—,91.4,8.6,100.0
1989–1990,51.7,10.4,17.3,0.6,5.4,2.9,1.5,—,2.0,—,91.8,8.2,100.0
1990–1991,52.8,10.2,16.2,0.6,5.6,2.9,1.6,—,3.3,—,93.2,6.8,100.0
1991–1992,53.8,10.2,17.1,0.7,5.7,2.8,1.4,—,3.4,—,95.1,4.9,100.0
1992–1993,55.0,11.8,16.8,0.6,5.1,2.1,1.4,—,3.4,—,96.1,3.9,100.0
1993–1994,52.9,12.0,17.0,0.4,4.8,3.3,1.5,—,4.2,—,96.1,3.9,100.0
1994–1995,51.9,11.7,17.3,0.4,4.6,3.2,1.5,—,4.1,—,94.8,5.2,100.0
1995–1996,50.6,11.3,16.9,0.4,4.8,3.8,1.5,—,4.1,—,93.3,6.7,100.0
1996–1997,51.8,11.4,17.5,0.4,4.3,3.7,1.5,—,4.3,—,94.8,5.2,100.0
1997–1998,51.1,11.9,18.6,0.4,4.7,3.9,1.6,—,4.5,—,96.8,3.2,100.0
1998–1999,51.1,11.8,18.2,0.4,5.0,3.9,1.8,—,5.2,—,97.4,2.6,100.0
1999–2000,51.2,11.4,18.5,0.3,5.1,3.7,1.8,—,5.7,—,97.7,2.3,100.0
2000–2001,51.1,11.0,18.0,0.3,5.4,3.9,1.6,—,5.9,—,97.2,2.8,100.0
2001–2002,50.1,10.9,18.4,0.3,5.7,3.8,1.8,—,5.7,—,96.6,3.4,100.0
2002–2003,50.1,10.8,18.6,0.2,6.1,3.4,2.0,—,5.7,—,97.0,3.0,100.0
2003–2004,49.6,10.4,19.1,0.2,6.2,3.5,1.7,—,5.5,—,96.4,3.6,100.0
2004–2005,49.1,10.0,19.0,0.2,6.3,3.3,1.5,—,5.5,—,95.0,5.0,100.0
2005–2006 ,47.6,9.9,18.3,0.2,6.3,3.8,1.4,—,5.7,—,93.1,6.9,100.0
2006–2007 ,46.6,10.5,17.9,0.2,6.2,3.6,1.4,—,6.1,—,92.5,7.5,100.0
2007–2008 ,48.2,11.4,18.0,0.2,6.2,3.6,1.5,—,6.4,—,95.5,4.5,100.0
2008–2009 ,48.6,11.6,18.4,0.2,6.1,3.8,1.3,—,6.5,—,96.4,3.6,100.0
2009–2010,48.5,12.0,18.5,0.2,6.3,4.0,1.2,—,6.5,—,97.3,2.7,100.0
2010–2011 ,48.0,12.6,18.5,0.2,6.4,3.6,1.3,—,6.5,—,97.2,2.8,100.0
2011–2012,45.7,12.6,18.6,0.2,6.3,4.0,0.9,—,6.3,—,94.7,5.3,100.0
2012–2013 ,46.1,13.1,18.9,0.2,5.8,4.0,0.8,4.4,4.0,—,97.3,2.7,100.0
2013–2014 ,46.8,13.0,18.5,0.3,5.5,4.2,0.7,4.6,4.0,—,97.5,2.5,100.0
2014–2015,46.0,13.1,19.0,0.3,5.7,4.2,0.7,4.6,4.2,—,97.8,2.2,100.0
2015–2016,45.5,12.5,19.0,0.3,5.9,4.0,0.8,4.7,4.1,—,96.7,3.3,100.0
2016–2017,43.4,12.9,19.4,0.3,6.0,4.2,0.9,4.9,4.2,—,96.2,3.8,100.0
2017–2018,43.3,12.6,19.4,0.3,6.0,4.5,0.4,5.0,4.3,—,95.7,4.3,100.0
2018–2019,43.8,12.3,19.3,0.3,5.9,4.4,0.4,5.1,4.3,—,95.9,4.1,100.0
2019–2020,44.2,12.6,19.3,0.3,6.2,4.5,0.5,5.2,4.4,0.1,97.2,2.8,100.0
2020–2021,41.4,11.9,18.6,0.2,6.0,4.4,0.6,5.1,4.4,4.3,97.0,3.0,100.0
2021–2022,42.2,11.1,17.5,0.2,5.2,4.4,0.6,5.0,4.2,6.6,97.0,3.0,100.0
2022–2023,45.3,11.4,17.4,0.2,5.8,6.4,0.7,6.2,3.4,—,96.9,3.1,100.0
2023–2024 f,44.8,11.7,18.1,0.3,5.4,6.4,0.7,5.8,3.1,—,96.3,3.7,100.0
2024–2025 f,43.9,12.6,17.9,0.3,5.5,5.4,0.8,5.6,4.3,—,96.2,3.8,100.0
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,-2.8,196.6,-3.2,-7.4,147.2,-11.4,2.7,—,-1.3,—,3.5,-23.7,—
1976–1977,1.4,33.5,-10.1,-33.9,49.7,12.4,-10.4,—,-13.5,—,2.8,-26.1,—
1977–1978,-2.0,8.7,0.7,5.1,9.3,3.4,-10.7,—,-0.5,—,-0.2,2.1,—
1978–1979,-1.3,3.5,-0.1,1.3,7.9,23.9,-14.3,—,4.6,—,0.4,-5.1,—
1979–1980,-6.1,16.9,1.0,2.8,7.2,-1.3,8.5,—,36.9,—,-1.6,21.1,—
1980–1981,-1.5,5.6,4.0,-6.2,-4.1,2.6,22.2,—,84.9,—,0.8,-9.1,—
1981–1982,-0.7,1.9,3.8,22.2,6.1,-2.6,-6.9,—,71.3,—,0.8,-9.1,—
1982–1983,-2.9,3.3,5.1,17.7,5.8,-2.6,11.2,—,32.2,—,0.1,-1.4,—
1983–1984,-0.8,0.8,7.8,4.1,11.9,1.1,-17.5,—,16.7,—,1.4,-18.2,—
1984–1985,0.1,-2.7,-3.4,56.4,0.8,0.2,2.2,—,47.5,—,-0.1,2.5,—
1985–1986,-0.9,-0.6,4.1,1.4,10.5,-2.0,2.9,—,12.5,—,0.7,-11.7,—
1986–1987,-3.1,-12.0,0.0,-5.8,9.1,-3.4,-12.1,—,6.1,—,-3.1,57.9,—
1987–1988,-1.2,-6.8,-1.0,-4.5,4.8,-9.4,-15.6,—,12.1,—,-1.8,20.6,—
1988–1989,1.2,0.9,3.3,-2.5,-4.8,-0.2,-0.6,—,11.5,—,1.3,-12.0,—
1989–1990,0.8,-2.7,0.5,-6.9,1.8,-10.3,40.4,—,5.0,—,0.5,-4.9,—
1990–1991,2.1,-1.6,-6.2,5.5,3.3,-0.7,5.6,—,62.9,—,1.5,-16.7,—
1991–1992,1.9,-0.3,5.8,4.4,1.8,-3.5,-7.8,—,4.7,—,2.1,-28.8,—
1992–1993,2.2,15.2,-2.3,-16.3,-10.0,-26.2,0.6,—,-1.2,—,1.0,-18.9,—
1993–1994,-3.8,2.4,1.5,-28.1,-5.4,59.3,7.3,—,22.0,—,0.1,-2.2,—
1994–1995,-1.8,-2.7,1.9,1.2,-3.9,-1.6,-3.4,—,-1.7,—,-1.4,34.6,—
1995–1996,-2.6,-3.5,-2.5,-2.0,3.1,17.4,-1.5,—,-0.4,—,-1.6,29.2,—
1996–1997,2.3,0.5,3.5,-3.5,-9.4,-2.0,-0.6,—,4.7,—,1.6,-21.8,—
1997–1998,-1.3,5.0,6.4,11.0,8.3,5.8,12.5,—,4.7,—,2.1,-38.7,—
1998–1999,0.0,-1.2,-2.0,-16.1,5.4,-0.1,11.9,—,17.6,—,0.7,-20.4,—
1999–2000,0.2,-3.3,1.2,-13.9,2.0,-5.3,-1.7,—,9.1,—,0.2,-9.0,—
2000–2001,-0.1,-3.2,-2.5,-5.4,6.1,4.2,-11.8,—,2.6,—,-0.5,22.3,—
2001–2002,-1.9,-1.6,2.4,-8.8,5.9,-3.1,14.7,—,-3.6,—,-0.6,19.1,—
2002–2003,-0.1,0.0,0.9,-4.7,6.7,-9.7,7.3,—,1.3,—,0.4,-10.2,—
2003–2004,-1.0,-3.8,2.6,-0.8,3.0,2.7,-12.6,—,-3.3,—,-0.6,19.6,—
2004–2005,-0.9,-4.1,-0.4,-13.3,1.5,-6.5,-10.2,—,-1.0,—,-1.4,37.6,—
2005–2006 ,-3.2,-0.8,-3.9,-1.0,-0.2,15.0,-11.1,—,4.2,—,-1.9,37.0,—
2006–2007 ,-2.1,6.1,-1.8,-10.1,-1.6,-5.5,3.8,—,6.2,—,-0.7,9.6,—
2007–2008 ,3.4,8.6,0.5,-7.4,-0.7,1.9,5.7,—,6.1,—,3.3,-40.5,—
2008–2009 ,1.0,1.1,1.9,23.2,-1.6,3.8,-15.6,—,0.7,—,0.9,-18.5,—
2009–2010,-0.3,4.1,1.0,-4.6,3.4,6.2,-1.4,—,0.0,—,0.9,-25.1,—
2010–2011 ,-1.0,4.9,-0.3,6.2,1.9,-8.9,2.7,—,0.4,—,-0.1,3.6,—
2011–2012,-4.9,-0.2,0.8,-3.2,-1.7,9.6,-25.9,—,-2.5,—,-2.5,87.6,—
2012–2013,0.8,4.0,1.3,8.0,-7.4,0.1,-18.7,—,-37.1,—,2.7,-48.3,—
2013–2014 ,1.5,-0.9,-2.1,17.0,-5.5,6.5,-3.5,3.3,-0.8,—,0.3,-9.3,—
2014–2015,-1.6,0.9,2.6,-2.3,3.6,-1.4,-3.4,1.6,6.0,—,0.3,-10.9,—
2015–2016,-1.2,-4.3,0.0,0.8,2.5,-3.4,7.2,2.0,-2.7,—,-1.1,49.5,—
2016–2017,-4.5,3.1,2.3,2.6,3.2,4.6,19.8,2.6,1.8,—,-0.5,14.7,—
2017–2018,-0.3,-2.9,0.0,1.8,0.0,6.1,-53.9,2.1,2.4,—,-0.6,14.5,—
2018–2019,1.2,-1.8,-0.3,4.2,-2.2,-0.9,-7.2,3.5,1.0,—,0.3,-6.4,—
2019–2020,0.9,1.9,-0.2,-2.9,5.6,1.7,19.0,1.0,1.2,—,1.3,-31.0,—
2020–2021,-6.3,-5.5,-3.5,-24.2,-3.1,-3.1,33.2,-0.6,0.5,"4,120.2",-0.2,6.5,—
2021–2022,2.0,-6.6,-6.0,-0.2,-14.1,1.2,-3.6,-3.6,-2.9,51.2,0.0,-0.9,—
2022–2023,7.3,3.3,-0.4,8.1,11.0,45.0,9.4,25.5,-20.7,—,-0.2,5.2,—
2023–2024 f,-1.2,2.6,4.0,11.6,-6.5,0.0,1.3,-6.3,-8.8,—,-0.6,18.7,—
2024–2025 f,-2.0,7.5,-1.4,10.9,2.6,-16.2,17.2,-4.7,39.9,—,-0.1,2.0,—
Notes,,,,,,,,,,,,,
