"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,,
"Table F.1.1.1  Provincial/territorial government health expenditure by province/territory and Canada in millions of current dollars, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,,
Year,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1994–1995,910.6,198.2,"1,264.8","1,203.7","12,075.8","18,772.6","1,868.0","1,570.4","4,035.5","6,811.0",71.5,213.0,—,"48,995.1"
1995–1996,928.2,205.7,"1,310.6","1,234.3","12,194.7","18,486.2","1,917.3","1,604.8","3,853.9","7,077.5",67.8,221.6,—,"49,102.8"
1996–1997,929.3,215.3,"1,328.0","1,230.0","11,882.8","18,795.6","1,928.8","1,658.6","4,169.2","7,212.4",66.6,195.7,—,"49,612.4"
1997–1998,979.4,214.6,"1,624.7","1,214.6","12,311.8","19,118.7","1,987.4","1,771.5","4,650.1","7,497.2",72.4,218.8,—,"51,661.1"
1998–1999,"1,097.9",232.1,"1,667.8","1,288.9","13,356.5","20,525.8","2,155.1","1,884.7","5,016.1","7,891.9",74.6,234.4,—,"55,425.6"
1999–2000,"1,193.4",244.5,"1,779.5","1,399.1","13,571.5","21,963.7","2,464.2","2,021.0","5,819.8","8,554.1",80.0,144.6,147.4,"59,382.9"
2000–2001,"1,261.9",269.2,"1,795.2","1,493.6","14,781.3","24,547.7","2,677.3","2,143.5","6,361.6","9,342.4",86.8,156.8,140.0,"65,057.3"
2001–2002,"1,362.8",311.3,"1,915.1","1,624.7","15,792.6","25,489.1","2,837.0","2,311.9","7,255.7","10,379.7",97.5,177.9,146.4,"69,701.6"
2002–2003,"1,441.4",350.9,"2,110.8","1,701.9","16,478.0","27,904.2","3,022.1","2,446.3","7,872.2","10,910.5",103.1,188.0,191.8,"74,721.0"
2003–2004 ,"1,518.9",353.9,"2,300.9","1,827.9","17,424.3","31,141.3","3,274.8","2,586.3","8,420.7","11,275.3",105.7,196.5,237.2,"80,663.8"
2004–2005,"1,543.1",351.8,"2,401.5","1,998.8","18,491.2","33,180.5","3,499.2","2,813.5","9,366.6","11,524.6",115.6,215.3,236.5,"85,738.2"
2005–2006 ,"1,613.8",376.5,"2,631.5","2,176.9","19,348.4","35,463.6","3,751.4","3,070.9","10,477.1","12,302.9",125.7,217.0,233.3,"91,789.1"
2006–2007 ,"1,734.3",391.6,"2,941.0","2,379.2","20,968.5","37,938.5","3,960.3","3,265.3","11,605.3","12,889.1",142.7,232.3,264.5,"98,712.6"
2007–2008,"1,860.8",420.7,"3,105.0","2,516.2","22,262.0","40,400.5","4,183.1","3,534.8","12,625.8","13,626.6",147.3,259.0,262.1,"105,203.9"
2008–2009 ,"2,046.0",463.2,"3,279.1","2,668.5","23,752.9","43,336.6","4,518.1","3,820.5","14,110.9","14,832.7",165.2,280.4,278.3,"113,552.4"
2009–2010,"2,255.0",524.2,"3,423.9","2,826.6","25,573.5","45,996.0","4,875.6","4,041.8","14,745.2","15,277.7",193.2,293.1,304.7,"120,330.7"
2010–2011 ,"2,503.5",572.2,"3,849.5","2,957.8","26,499.3","48,025.6","5,079.4","4,351.1","16,907.9","16,128.1",200.6,327.4,318.1,"127,720.6"
2011–2012,"2,631.2",632.0,"4,030.2","3,120.1","27,651.0","49,415.1","5,290.5","4,611.5","16,921.7","16,616.1",216.9,359.9,349.2,"131,845.5"
2012–2013 ,"2,879.7",628.4,"4,107.5","3,153.2","28,221.5","52,038.7","5,625.1","4,822.6","17,995.1","17,888.4",227.1,368.1,371.0,"138,326.4"
2013–2014 ,"2,860.9",634.8,"4,133.2","3,127.1","29,602.4","52,700.2","5,832.8","5,109.7","18,615.7","17,978.8",238.1,426.5,398.0,"141,658.2"
2014–2015,"2,888.9",634.6,"4,221.8","3,135.8","30,046.8","54,410.9","5,816.0","5,201.5","19,311.8","18,776.1",244.0,448.4,427.8,"145,564.4"
2015–2016,"3,011.6",654.6,"4,295.7","3,245.2","33,690.0","55,820.6","6,184.1","5,415.1","20,063.6","19,436.3",268.8,479.7,451.8,"153,017.2"
2016–2017,"3,041.7",682.2,"4,294.7","3,276.9","32,987.5","56,960.4","6,211.0","5,607.6","20,895.5","20,319.2",346.3,541.1,469.1,"155,633.1"
2017–2018,"3,075.7",716.3,"4,459.5","3,366.2","35,338.0","59,051.4","6,380.7","5,686.5","21,709.6","20,979.6",377.8,492.3,529.2,"162,162.9"
2018–2019,"3,176.8",751.8,"4,612.5","3,448.4","37,339.8","61,546.9","6,459.3","5,624.6","22,372.9","21,961.0",343.3,547.0,562.5,"168,746.6"
2019–2020,"3,384.8",797.6,"4,880.7","3,540.6","39,516.4","63,935.2","6,659.2","5,987.7","22,762.5","23,435.7",355.6,542.2,621.9,"176,420.2"
2020–2021,"3,313.5",828.7,"5,375.7","3,690.0","49,318.8","74,644.7","7,382.3","6,304.1","24,330.0","26,782.2",387.6,583.3,645.2,"203,586.3"
2021–2022,"3,754.6",908.8,"5,778.3","4,043.2","51,734.1","78,371.2","7,595.5","6,640.6","25,243.0","29,260.7",410.2,617.4,605.6,"214,963.0"
2022–2023,"3,948.8",985.1,"6,425.1","4,384.0","50,935.8","80,253.0","7,973.5","6,776.3","26,069.5","30,385.0",429.6,637.9,643.2,"219,846.9"
2023–2024 f,"4,248.0","1,131.5","7,215.1","4,683.1","52,978.7","81,881.5","8,005.2","7,499.9","28,182.5","33,598.6",504.6,644.7,768.5,"231,342.0"
2024–2025 f,"4,546.4","1,203.7","7,617.7","4,756.5","54,697.4","86,345.1","8,877.5","7,508.5","29,308.1","37,760.9",487.2,711.6,800.7,"244,621.6"
Annual percentage change by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,18.8,22.1,22.7,26.5,24.3,18.1,26.0,21.7,28.8,33.1,19.4,25.2,—,23.0
1976–1977,7.5,5.9,10.9,17.0,15.6,14.0,17.5,20.2,13.7,12.5,49.5,24.0,—,14.5
1977–1978,6.3,12.3,10.4,10.7,8.4,7.2,8.7,10.8,6.7,9.5,5.2,23.3,—,8.2
1978–1979,12.0,12.0,10.6,9.9,13.1,7.8,4.6,7.9,19.0,15.8,17.0,19.0,—,11.2
1979–1980,16.0,10.6,12.0,13.4,11.2,8.0,9.8,16.0,24.5,13.7,6.0,-6.0,—,11.8
1980–1981,12.5,17.8,15.7,18.5,13.2,14.7,16.0,19.7,18.8,27.2,11.2,8.8,—,16.4
1981–1982,18.1,15.2,22.1,21.8,14.7,18.4,21.0,16.8,25.3,21.8,10.2,25.0,—,18.6
1982–1983,17.2,17.7,14.0,21.1,16.1,16.7,15.7,22.2,30.8,12.6,60.9,48.8,—,17.7
1983–1984,10.1,9.3,8.8,4.7,8.9,11.8,10.4,9.7,9.9,6.4,-10.5,5.2,—,9.6
1984–1985,1.7,5.5,10.2,7.8,5.5,9.6,7.2,4.8,0.5,4.4,8.2,7.9,—,6.3
1985–1986,6.1,5.6,7.9,5.2,5.8,10.7,7.4,8.6,8.8,4.0,5.0,18.5,—,7.8
1986–1987,9.7,7.6,5.0,7.3,0.6,13.4,7.4,11.9,9.4,8.7,12.7,29.2,—,8.3
1987–1988,7.4,8.3,8.5,11.3,9.2,10.3,7.5,0.8,-3.2,5.6,4.7,12.2,—,7.4
1988–1989,6.4,7.5,8.8,6.8,8.4,11.2,7.1,8.3,6.7,9.8,16.2,50.8,—,9.4
1989–1990,7.1,5.9,9.8,8.9,7.2,11.3,9.3,12.2,11.2,12.5,6.6,9.1,—,10.1
1990–1991,11.9,7.7,6.4,7.2,7.5,6.4,9.1,7.3,4.9,13.2,8.7,6.4,—,7.6
1991–1992,1.1,7.8,5.6,4.0,10.0,12.4,0.9,1.0,5.7,10.2,17.0,17.8,—,9.4
1992–1993,2.2,3.1,0.6,3.4,1.6,2.4,5.6,-3.0,5.7,8.2,8.5,-6.0,—,3.1
1993–1994,-0.6,4.5,-3.5,0.6,1.2,-1.9,-2.3,-5.7,-3.5,5.2,22.2,5.0,—,-0.4
1994–1995,3.6,-4.2,-3.7,3.8,1.4,1.2,1.1,3.0,-8.2,4.7,15.2,-3.5,—,0.8
1995–1996,1.9,3.8,3.6,2.5,1.0,-1.5,2.6,2.2,-4.5,3.9,-5.2,4.0,—,0.2
1996–1997,0.1,4.7,1.3,-0.3,-2.6,1.7,0.6,3.4,8.2,1.9,-1.8,-11.7,—,1.0
1997–1998,5.4,-0.4,22.3,-1.3,3.6,1.7,3.0,6.8,11.5,3.9,8.8,11.8,—,4.1
1998–1999,12.1,8.2,2.6,6.1,8.5,7.4,8.4,6.4,7.9,5.3,3.0,7.1,—,7.3
1999–2000,8.7,5.4,6.7,8.6,1.6,7.0,14.3,7.2,16.0,8.4,7.3,-38.3,—,7.1
2000–2001,5.7,10.1,0.9,6.8,8.9,11.8,8.6,6.1,9.3,9.2,8.4,8.4,-5.0,9.6
2001–2002,8.0,15.7,6.7,8.8,6.8,3.8,6.0,7.9,14.1,11.1,12.3,13.5,4.5,7.1
2002–2003,5.8,12.7,10.2,4.8,4.3,9.5,6.5,5.8,8.5,5.1,5.8,5.6,31.0,7.2
2003–2004 ,5.4,0.9,9.0,7.4,5.7,11.6,8.4,5.7,7.0,3.3,2.6,4.6,23.7,8.0
2004–2005,1.6,-0.6,4.4,9.3,6.1,6.5,6.9,8.8,11.2,2.2,9.3,9.6,-0.3,6.3
2005–2006 ,4.6,7.0,9.6,8.9,4.6,6.9,7.2,9.2,11.9,6.8,8.8,0.8,-1.4,7.1
2006–2007,7.5,4.0,11.8,9.3,8.4,7.0,5.6,6.3,10.8,4.8,13.5,7.1,13.4,7.5
2007–2008,7.3,7.4,5.6,5.8,6.2,6.5,5.6,8.3,8.8,5.7,3.2,11.5,-0.9,6.6
2008–2009 ,10.0,10.1,5.6,6.1,6.7,7.3,8.0,8.1,11.8,8.9,12.2,8.2,6.2,7.9
2009–2010 ,10.2,13.2,4.4,5.9,7.7,6.1,7.9,5.8,4.5,3.0,17.0,4.6,9.5,6.0
2010–2011 ,11.0,9.2,12.4,4.6,3.6,4.4,4.2,7.7,14.7,5.6,3.8,11.7,4.4,6.1
2011–2012,5.1,10.4,4.7,5.5,4.3,2.9,4.2,6.0,0.1,3.0,8.1,9.9,9.8,3.2
2012–2013 ,9.4,-0.6,1.9,1.1,2.1,5.3,6.3,4.6,6.3,7.7,4.7,2.3,6.3,4.9
2013–2014 ,-0.7,1.0,0.6,-0.8,4.9,1.3,3.7,6.0,3.4,0.5,4.8,15.9,7.3,2.4
2014–2015,1.0,0.0,2.1,0.3,1.5,3.2,-0.3,1.8,3.7,4.4,2.5,5.1,7.5,2.8
2015–2016,4.2,3.2,1.8,3.5,12.1,2.6,6.3,4.1,3.9,3.5,10.2,7.0,5.6,5.1
2016–2017,1.0,4.2,0.0,1.0,-2.1,2.0,0.4,3.6,4.1,4.5,28.8,12.8,3.8,1.7
2017–2018,1.1,5.0,3.8,2.7,7.1,3.7,2.7,1.4,3.9,3.3,9.1,-9.0,12.8,4.2
2018–2019,3.3,5.0,3.4,2.4,5.7,4.2,1.2,-1.1,3.1,4.7,-9.1,11.1,6.3,4.1
2019–2020,6.5,6.1,5.8,2.7,5.8,3.9,3.1,6.5,1.7,6.7,3.6,-0.9,10.6,4.5
2020–2021,-2.1,3.9,10.1,4.2,24.8,16.8,10.9,5.3,6.9,14.3,9.0,7.6,3.7,15.4
2021–2022,13.3,9.7,7.5,9.6,4.9,5.0,2.9,5.3,3.8,9.3,5.8,5.8,-6.1,5.6
2022–2023,5.2,8.4,11.2,8.4,-1.5,2.4,5.0,2.0,3.3,3.8,4.7,3.3,6.2,2.3
2023–2024 f,7.6,14.9,12.3,6.8,4.0,2.0,0.4,10.7,8.1,10.6,17.5,1.1,19.5,5.2
2024–2025 f,7.0,6.4,5.6,1.6,3.2,5.5,10.9,0.1,4.0,12.4,-3.4,10.4,4.2,5.7
Note,,,,,,,,,,,,,,
f: Forecast,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,,
"Table F.1.1.2  Provincial/territorial government per capita health expenditure by province/territory and Canada, in current dollars, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,316.62,305.93,277.73,253.81,340.67,335.82,309.45,285.90,322.98,302.16,252.50,308.10,—,324.17
1975–1976,371.03,368.40,336.98,315.13,419.18,391.35,387.06,342.79,403.28,394.17,289.59,369.09,—,393.15
1976–1977,395.45,387.20,370.43,364.13,480.36,441.65,451.72,405.93,441.21,437.30,427.30,448.42,—,444.51
1977–1978,418.67,429.32,406.96,399.82,518.31,468.52,488.66,444.39,452.31,471.49,444.72,547.76,—,475.42
1978–1979,466.87,474.92,447.76,437.13,585.35,500.57,511.06,475.79,519.00,536.44,511.76,643.23,—,523.92
1979–1980,539.22,520.77,499.13,493.45,647.97,536.27,563.46,547.52,621.66,596.27,544.58,598.22,—,579.36
1980–1981,604.09,611.31,575.51,582.93,728.42,609.24,653.92,649.86,706.04,736.05,596.75,639.45,—,665.35
1981–1982,711.09,704.10,699.51,708.99,829.80,713.86,789.14,751.64,849.63,873.71,637.35,777.60,—,779.18
1982–1983,832.64,825.83,792.93,853.56,959.91,822.53,902.31,907.58,"1,083.95",969.71,"1,017.35","1,115.52",—,907.52
1983–1984,910.64,890.66,852.65,885.23,"1,041.24",907.68,983.06,982.37,"1,183.31","1,019.75",932.20,"1,138.27",—,985.25
1984–1985,926.72,930.35,929.57,947.95,"1,093.38",979.70,"1,042.55","1,015.68","1,190.72","1,051.14",991.35,"1,197.76",—,"1,037.44"
1985–1986,985.79,974.48,995.68,994.00,"1,150.64","1,069.55","1,108.94","1,093.48","1,286.98","1,082.90","1,028.42","1,377.91",—,"1,108.40"
1986–1987,"1,086.33","1,045.16","1,041.59","1,064.91","1,148.49","1,193.57","1,182.26","1,220.69","1,395.04","1,165.10","1,144.22","1,781.30",—,"1,187.35"
1987–1988,"1,169.88","1,128.16","1,125.77","1,180.88","1,241.07","1,287.69","1,264.88","1,227.76","1,345.96","1,208.80","1,150.84","1,974.80",—,"1,258.29"
1988–1989,"1,243.43","1,207.90","1,218.66","1,254.61","1,331.61","1,400.32","1,351.74","1,338.44","1,419.44","1,295.96","1,298.38","2,913.05",—,"1,356.80"
1989–1990,"1,329.63","1,273.52","1,327.61","1,357.86","1,410.08","1,519.92","1,474.99","1,515.68","1,551.40","1,418.29","1,352.31","3,105.07",—,"1,468.28"
1990–1991,"1,484.07","1,366.68","1,404.90","1,444.61","1,500.52","1,589.49","1,605.11","1,645.18","1,592.55","1,560.41","1,426.94","3,200.53",—,"1,556.59"
1991–1992,"1,493.66","1,472.86","1,474.64","1,495.10","1,636.76","1,765.43","1,613.94","1,666.88","1,656.93","1,678.84","1,605.52","3,653.40",—,"1,683.37"
1992–1993,"1,526.35","1,509.43","1,475.86","1,541.49","1,651.58","1,782.64","1,699.00","1,612.89","1,724.88","1,764.99","1,691.02","3,365.31",—,"1,713.68"
1993–1994,"1,520.57","1,561.69","1,418.28","1,547.86","1,661.00","1,729.08","1,652.17","1,514.56","1,641.78","1,806.29","2,067.92","3,452.63",—,"1,687.67"
1994–1995,"1,591.77","1,481.61","1,363.21","1,603.47","1,676.93","1,728.53","1,661.54","1,553.67","1,489.65","1,835.13","2,415.30","3,256.06",—,"1,683.89"
1995–1996,"1,642.73","1,524.30","1,409.21","1,643.20","1,687.01","1,681.57","1,697.44","1,580.55","1,403.86","1,859.82","2,196.12","3,327.59",—,"1,670.37"
1996–1997,"1,667.49","1,583.36","1,424.50","1,634.54","1,637.29","1,688.64","1,699.94","1,627.02","1,494.51","1,849.70","2,106.93","2,905.35",—,"1,669.99"
1997–1998,"1,788.43","1,575.72","1,741.91","1,614.62","1,690.51","1,695.09","1,750.04","1,741.13","1,633.02","1,890.99","2,294.57","3,245.43",—,"1,722.34"
1998–1999,"2,041.03","1,707.46","1,788.04","1,716.87","1,828.33","1,799.12","1,893.19","1,851.85","1,720.31","1,977.70","2,416.27","3,493.45",—,"1,833.36"
1999–2000,"2,242.26","1,792.48","1,901.31","1,863.91","1,850.30","1,900.06","2,154.76","1,995.86","1,961.73","2,127.04","2,615.22","3,564.63","5,459.07","1,947.49"
2000–2001,"2,395.68","1,973.33","1,921.06","1,990.80","2,005.94","2,089.46","2,331.79","2,130.62","2,108.63","2,307.18","2,865.36","3,864.79","5,057.97","2,113.35"
2001–2002,"2,612.85","2,274.26","2,051.94","2,168.28","2,130.94","2,130.92","2,462.33","2,313.70","2,356.69","2,540.56","3,239.81","4,320.73","5,194.26","2,239.13"
2002–2003,"2,775.22","2,559.76","2,255.21","2,271.03","2,210.16","2,297.57","2,611.34","2,455.28","2,502.89","2,655.70","3,405.08","4,488.49","6,646.06","2,375.82"
2003–2004 ,"2,928.24","2,575.28","2,451.00","2,438.97","2,322.17","2,533.85","2,809.70","2,595.16","2,633.06","2,727.07","3,386.01","4,585.48","8,082.12","2,541.70"
2004–2005,"2,985.47","2,555.14","2,555.22","2,667.70","2,448.00","2,668.12","2,978.89","2,821.90","2,872.57","2,765.15","3,646.72","4,966.29","7,939.35","2,676.12"
2005–2006 ,"3,141.41","2,725.74","2,803.21","2,911.54","2,546.22","2,819.44","3,181.64","3,091.63","3,130.48","2,920.45","3,913.04","4,986.19","7,674.89","2,837.09"
2006–2007,"3,398.34","2,839.98","3,138.58","3,193.61","2,739.95","2,986.97","3,344.94","3,287.14","3,360.02","3,026.56","4,409.21","5,377.84","8,564.28","3,020.50"
2007–2008,"3,646.73","3,048.32","3,319.36","3,372.25","2,886.44","3,154.44","3,510.25","3,509.16","3,573.27","3,160.12","4,510.06","5,984.00","8,303.66","3,187.81"
2008–2009 ,"3,984.96","3,321.75","3,499.18","3,568.58","3,050.48","3,352.28","3,766.50","3,736.38","3,898.76","3,393.33","4,960.48","6,472.92","8,705.66","3,402.52"
2009–2010 ,"4,345.12","3,728.47","3,640.25","3,763.49","3,248.73","3,525.02","4,023.17","3,888.09","3,991.32","3,447.46","5,679.29","6,826.87","9,285.41","3,564.45"
2010–2011 ,"4,788.12","4,009.43","4,076.97","3,921.38","3,331.07","3,641.06","4,147.60","4,119.93","4,512.10","3,597.13","5,767.01","7,559.01","9,473.15","3,741.90"
2011–2012,"5,003.69","4,380.30","4,266.39","4,126.09","3,447.30","3,712.46","4,275.53","4,310.00","4,447.15","3,668.68","6,097.11","8,259.29","10,170.71","3,826.30"
2012–2013 ,"5,463.57","4,351.65","4,356.61","4,157.64","3,494.12","3,872.90","4,488.52","4,431.86","4,616.79","3,893.15","6,248.40","8,432.29","10,653.13","3,970.91"
2013–2014 ,"5,418.97","4,410.01","4,399.62","4,123.36","3,644.51","3,886.59","4,603.23","4,633.29","4,644.16","3,854.87","6,543.01","9,753.85","11,199.70","4,023.28"
2014–2015,"5,468.65","4,396.50","4,500.12","4,130.45","3,681.02","3,982.85","4,537.73","4,664.30","4,705.95","3,958.27","6,554.54","10,183.90","11,850.29","4,094.03"
2015–2016,"5,694.73","4,516.01","4,575.20","4,270.12","4,113.52","4,056.80","4,763.87","4,810.95","4,819.44","4,052.99","7,124.58","10,793.97","12,343.46","4,271.41"
2016–2017,"5,735.14","4,618.63","4,536.91","4,284.51","4,000.24","4,083.71","4,705.99","4,921.15","4,966.68","4,158.10","8,941.90","12,167.41","12,648.61","4,292.45"
2017–2018,"5,801.53","4,756.61","4,664.42","4,382.93","4,244.26","4,169.98","4,760.21","4,940.33","5,103.90","4,227.46","9,515.25","10,982.63","13,988.63","4,415.95"
2018–2019,"6,006.09","4,884.96","4,767.06","4,462.22","4,435.36","4,270.22","4,757.02","4,850.24","5,189.20","4,346.87","8,469.03","12,294.90","14,614.64","4,528.96"
2019–2020,"6,405.34","5,079.23","4,967.21","4,533.92","4,637.24","4,359.20","4,846.99","5,129.64","5,200.64","4,552.35","8,576.97","12,181.70","15,990.58","4,663.73"
2020–2021,"6,298.93","5,206.38","5,434.66","4,707.80","5,767.03","5,058.06","5,342.46","5,406.75","5,514.50","5,176.41","9,203.95","13,139.43","16,300.87","5,353.67"
2021–2022,"7,106.40","5,549.19","5,739.21","5,080.94","6,013.11","5,244.93","5,439.08","5,681.07","5,672.02","5,555.29","9,512.48","13,836.45","15,051.80","5,590.50"
2022–2023,"7,402.52","5,824.23","6,203.83","5,360.94","5,833.99","5,250.80","5,600.98","5,705.83","5,715.30","5,623.19","9,738.84","14,281.22","15,909.26","5,597.47"
2023–2024 f,"7,860.66","6,434.09","6,765.78","5,557.12","5,920.38","5,181.79","5,462.63","6,152.65","5,925.17","6,020.03","11,177.38","14,403.95","18,827.55","5,708.15"
2024–2025 f,"8,420.83","6,742.28","7,087.62","5,618.77","6,049.64","5,368.88","5,959.37","6,055.12","6,048.30","6,637.00","10,655.85","15,744.66","19,517.34","5,943.11"
Annual percentage change by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,17.2,20.4,21.3,24.2,23.0,16.5,25.1,19.9,24.9,30.4,14.7,19.8,—,21.3
1976–1977,6.6,5.1,9.9,15.5,14.6,12.9,16.7,18.4,9.4,10.9,47.6,21.5,—,13.1
1977–1978,5.9,10.9,9.9,9.8,7.9,6.1,8.2,9.5,2.5,7.8,4.1,22.2,—,7.0
1978–1979,11.5,10.6,10.0,9.3,12.9,6.8,4.6,7.1,14.7,13.8,15.1,17.4,—,10.2
1979–1980,15.5,9.7,11.5,12.9,10.7,7.1,10.3,15.1,19.8,11.2,6.4,-7.0,—,10.6
1980–1981,12.0,17.4,15.3,18.1,12.4,13.6,16.1,18.7,13.6,23.4,9.6,6.9,—,14.8
1981–1982,17.7,15.2,21.5,21.6,13.9,17.2,20.7,15.7,20.3,18.7,6.8,21.6,—,17.1
1982–1983,17.1,17.3,13.4,20.4,15.7,15.2,14.3,20.7,27.6,11.0,59.6,43.5,—,16.5
