"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,
"Table F.3.1.1  Provincial government health expenditure by use of funds in millions of current dollars, Newfoundland and Labrador, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,
Year,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1995–1996,500.5,143.0,139.0,6.1,54.9,31.3,11.3,—,24.1,—,910.2,17.9,928.2
1996–1997,462.7,181.8,140.1,5.3,54.4,37.2,11.5,—,23.2,—,916.3,13.0,929.3
1997–1998,445.6,226.6,153.6,5.6,53.4,43.3,10.0,—,23.2,—,961.2,18.2,979.4
1998–1999,516.4,227.9,160.7,5.9,56.9,54.1,11.3,—,22.5,—,"1,055.8",42.1,"1,097.9"
1999–2000,523.1,228.6,170.0,5.6,61.0,54.8,16.4,—,23.8,—,"1,083.3",110.1,"1,193.4"
2000–2001,560.9,250.0,181.3,5.6,70.4,56.1,17.9,—,27.9,—,"1,170.0",91.9,"1,261.9"
2001–2002,634.6,269.0,190.3,5.3,80.4,63.0,20.6,—,29.1,—,"1,292.2",70.6,"1,362.8"
2002–2003,678.5,277.6,199.9,5.1,89.0,77.3,21.2,—,29.9,—,"1,378.6",62.9,"1,441.4"
2003–2004,686.2,281.3,258.0,4.9,98.4,77.3,18.3,—,43.5,—,"1,467.9",51.0,"1,518.9"
2004–2005,700.7,281.2,268.0,4.6,102.8,82.0,17.1,—,43.7,—,"1,500.2",42.9,"1,543.1"
2005–2006 ,759.1,297.2,277.8,4.3,107.1,84.7,18.1,—,30.6,—,"1,578.8",35.1,"1,613.8"
2006–2007 ,841.6,300.5,286.3,4.4,108.5,72.0,18.8,—,36.4,—,"1,668.4",65.9,"1,734.3"
2007–2008,886.9,320.2,297.6,5.9,119.8,69.9,22.2,—,41.5,—,"1,764.0",96.8,"1,860.8"
2008–2009,948.7,358.7,316.9,7.1,123.1,79.1,31.2,—,95.1,—,"1,960.0",86.0,"2,046.0"
2009–2010,"1,058.4",368.5,336.0,7.0,130.5,87.7,32.7,—,110.6,—,"2,131.4",123.6,"2,255.0"
2010–2011 ,"1,120.9",380.3,419.7,8.1,137.7,84.2,30.2,—,176.3,—,"2,357.5",146.0,"2,503.5"
2011–2012,"1,165.0",388.7,430.1,10.5,148.4,93.6,35.6,—,188.7,—,"2,460.4",170.7,"2,631.2"
2012–2013,"1,169.0",387.3,440.5,29.3,155.2,100.5,24.6,219.6,158.8,—,"2,685.0",194.7,"2,879.7"
2013–2014 ,"1,175.3",387.1,457.6,12.0,147.0,102.9,23.6,225.5,158.6,—,"2,689.5",171.4,"2,860.9"
2014–2015,"1,205.6",415.7,459.1,14.3,144.9,107.5,17.4,238.7,163.3,—,"2,766.4",122.5,"2,888.9"
2015–2016,"1,239.5",438.2,467.2,15.6,152.8,116.5,17.7,274.0,174.7,—,"2,896.1",115.6,"3,011.6"
2016–2017,"1,272.6",450.6,461.6,14.8,146.9,120.3,17.0,293.2,178.0,—,"2,954.9",86.8,"3,041.7"
2017–2018,"1,255.6",457.2,501.7,14.3,151.7,121.9,17.5,292.8,194.6,—,"3,007.2",68.5,"3,075.7"
2018–2019,"1,300.4",485.3,499.5,14.3,151.7,125.4,18.4,314.6,195.1,—,"3,104.8",72.0,"3,176.8"
2019–2020,"1,274.8",468.4,485.7,12.0,156.1,126.0,17.9,337.8,218.7,0.0,"3,097.4",287.5,"3,384.8"
2020–2021,"1,157.1",436.8,456.2,7.8,158.6,77.5,19.8,347.2,243.6,129.5,"3,034.1",279.4,"3,313.5"
2021–2022,"1,387.5",499.8,485.7,8.4,168.9,65.2,20.0,362.5,255.0,121.9,"3,375.0",379.6,"3,754.6"
2022–2023,"1,451.8",528.0,545.1,11.6,181.9,153.1,21.0,377.1,268.5,—,"3,538.1",410.7,"3,948.8"
2023–2024 f,"1,518.8",554.2,547.8,12.4,178.6,163.6,21.2,394.5,281.3,—,"3,672.4",575.7,"4,248.0"
2024–2025 f,"1,841.0",676.8,549.8,13.5,183.6,196.7,22.6,478.2,337.1,—,"4,299.2",247.3,"4,546.4"
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,30.2,34.9,17.6,36.0,19.8,14.7,23.1,—,28.1,—,27.7,-18.9,18.8
1976–1977,6.1,53.2,14.5,15.6,-0.4,12.7,9.7,—,21.2,—,12.0,-22.9,7.5
1977–1978,12.7,22.2,3.7,8.6,9.3,-26.6,1.7,—,13.3,—,10.8,-37.2,6.3
1978–1979,14.3,11.4,4.8,34.5,19.6,46.3,7.3,—,6.9,—,13.4,-12.0,12.0
1979–1980,16.4,23.5,13.1,4.9,16.6,18.1,13.0,—,11.0,—,16.5,5.2,16.0
1980–1981,13.2,6.7,20.3,15.2,42.4,13.5,15.9,—,18.9,—,14.0,-22.9,12.5
1981–1982,18.3,13.0,13.1,37.3,24.0,31.4,16.0,—,16.9,—,17.7,31.0,18.1
1982–1983,12.3,26.0,18.5,27.7,25.8,12.4,39.8,—,27.8,—,16.1,52.0,17.2
1983–1984,9.9,10.6,10.3,1.7,19.1,0.8,-5.9,—,3.3,—,9.4,27.8,10.1
1984–1985,1.3,0.0,11.5,-3.0,14.9,-3.3,-11.6,—,6.8,—,2.7,-18.1,1.7
1985–1986,3.9,8.0,4.0,2.3,17.0,14.7,22.7,—,-0.1,—,5.2,30.1,6.1
1986–1987,9.3,11.1,9.3,-5.8,19.8,3.4,12.6,—,9.5,—,9.5,14.4,9.7
1987–1988,5.4,8.0,11.4,7.4,14.1,10.9,25.3,—,8.5,—,7.4,7.4,7.4
1988–1989,9.4,8.7,11.1,5.6,13.9,9.3,4.1,—,12.8,—,9.7,-61.4,6.4
1989–1990,5.0,13.6,8.4,-2.0,9.6,5.2,15.7,—,12.1,—,7.2,4.5,7.1
1990–1991,12.0,12.3,10.4,5.9,14.5,11.4,5.0,—,9.2,—,11.6,28.9,11.9
1991–1992,2.1,1.6,0.3,-23.5,14.0,-3.8,-5.5,—,-7.6,—,1.4,-14.6,1.1
1992–1993,4.3,-11.7,3.7,-15.4,7.3,0.7,14.4,—,-8.5,—,1.6,39.8,2.2
1993–1994,-2.0,-1.4,0.5,-9.2,9.4,14.5,-11.3,—,-2.5,—,-0.7,4.1,-0.6
1994–1995,3.7,1.1,2.6,0.4,9.0,10.0,7.3,—,2.9,—,3.7,-1.0,3.6
1995–1996,-4.6,35.5,2.4,-1.5,3.3,7.5,-6.2,—,-0.3,—,2.2,-10.2,1.9
1996–1997,-7.6,27.2,0.8,-12.5,-1.1,18.7,1.7,—,-3.9,—,0.7,-27.4,0.1
1997–1998,-3.7,24.6,9.6,4.1,-1.8,16.4,-12.9,—,0.1,—,4.9,40.0,5.4
1998–1999,15.9,0.6,4.6,5.2,6.7,25.0,13.4,—,-3.0,—,9.8,131.2,12.1
1999–2000,1.3,0.3,5.8,-3.6,7.2,1.2,44.4,—,5.6,—,2.6,161.7,8.7
2000–2001,7.2,9.4,6.7,-1.2,15.3,2.4,9.2,—,17.5,—,8.0,-16.6,5.7
2001–2002,13.1,7.6,4.9,-5.0,14.2,12.3,15.2,—,4.3,—,10.4,-23.2,8.0
2002–2003,6.9,3.2,5.1,-3.2,10.8,22.7,2.9,—,2.7,—,6.7,-10.9,5.8
2003–2004,1.1,1.3,29.1,-4.0,10.5,0.0,-13.5,—,45.3,—,6.5,-18.8,5.4
2004–2005,2.1,0.0,3.9,-6.4,4.5,6.2,-7.0,—,0.6,—,2.2,-15.9,1.6
2005–2006 ,8.3,5.7,3.7,-7.0,4.1,3.3,5.9,—,-30.1,—,5.2,-18.3,4.6
2006–2007 ,10.9,1.1,3.0,1.7,1.3,-15.0,4.0,—,19.1,—,5.7,87.9,7.5
2007–2008,5.4,6.5,3.9,35.9,10.4,-2.8,17.9,—,14.2,—,5.7,47.0,7.3
2008–2009 ,7.0,12.0,6.5,19.6,2.8,13.1,40.9,—,129.1,—,11.1,-11.2,10.0
2009–2010 ,11.6,2.7,6.0,-1.3,6.0,10.9,4.7,—,16.3,—,8.7,43.7,10.2
2010–2011 ,5.9,3.2,24.9,15.2,5.5,-4.0,-7.5,—,59.3,—,10.6,18.1,11.0
2011–2012,3.9,2.2,2.5,29.8,7.7,11.1,17.7,—,7.0,—,4.4,16.9,5.1
2012–2013,0.3,-0.3,2.4,180.4,4.6,7.4,-30.7,—,-15.8,—,9.1,14.0,9.4
2013–2014,0.5,-0.1,3.9,-59.0,-5.3,2.4,-4.4,2.7,-0.1,—,0.2,-12.0,-0.7
2014–2015,2.6,7.4,0.3,18.5,-1.4,4.5,-26.2,5.9,2.9,—,2.9,-28.5,1.0
2015–2016,2.8,5.4,1.8,9.4,5.4,8.4,1.6,14.8,7.0,—,4.7,-5.6,4.2
2016–2017,2.7,2.8,-1.2,-5.3,-3.8,3.3,-3.9,7.0,1.9,—,2.0,-24.9,1.0
2017–2018,-1.3,1.5,8.7,-2.9,3.3,1.3,2.9,-0.1,9.3,—,1.8,-21.1,1.1
2018–2019,3.6,6.2,-0.4,0.0,0.0,2.9,5.5,7.5,0.3,—,3.2,5.1,3.3
2019–2020,-2.0,-3.5,-2.8,-16.2,2.9,0.4,-3.1,7.4,12.1,—,-0.2,299.4,6.5
2020–2021,-9.2,-6.7,-6.1,-35.3,1.6,-38.5,10.9,2.8,11.4,—,-2.0,-2.8,-2.1
2021–2022,19.9,14.4,6.5,8.6,6.5,-15.8,0.9,4.4,4.7,-5.9,11.2,35.9,13.3
2022–2023,4.6,5.6,12.2,37.3,7.7,134.7,5.2,4.0,5.3,—,4.8,8.2,5.2
2023–2024 f,4.6,5.0,0.5,6.7,-1.8,6.9,0.8,4.6,4.7,—,3.8,40.2,7.6
2024–2025 f,21.2,22.1,0.4,9.0,2.8,20.2,6.5,21.2,19.8,—,17.1,-57.0,7.0
Notes,,,,,,,,,,,,,
"f: Forecast
Sub-total equals Total minus Capital.
Prior to 2012-2013, home and community care spending data cannot be separated out and is embedded in Other health spending: net of HCC.
COVID-19 Response Funding: Government-budgeted funding for health-related activities as a time-limited emergency response to the COVID-19 pandemic. See more details in the NHEX Methodology Notes.
The federal COVID-19 response funding transfers to the provinces/territories are included in the provincial/territorial government sector.",,,,,,,,,,,,,
Source,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,
"Table F.3.1.2  Percentage distribution of provincial government health expenditure by use of funds, Newfoundland and Labrador, 1974–1975 to 2024–2025",,,,,,,,,,,,,
Percentage by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,51.9,6.4,13.1,1.1,1.7,3.0,1.2,—,2.4,—,80.9,19.1,100.0
1975–1976,56.9,7.3,13.0,1.3,1.7,2.9,1.2,—,2.6,—,86.9,13.1,100.0
1976–1977,56.1,10.4,13.9,1.4,1.5,3.1,1.2,—,3.0,—,90.6,9.4,100.0
1977–1978,59.5,12.0,13.5,1.4,1.6,2.1,1.2,—,3.2,—,94.5,5.5,100.0
1978–1979,60.8,11.9,12.7,1.7,1.7,2.8,1.1,—,3.0,—,95.6,4.4,100.0
1979–1980,61.0,12.7,12.3,1.5,1.7,2.8,1.1,—,2.9,—,96.0,4.0,100.0
1980–1981,61.3,12.0,13.2,1.5,2.2,2.8,1.1,—,3.0,—,97.3,2.7,100.0
1981–1982,61.5,11.5,12.6,1.8,2.3,3.2,1.1,—,3.0,—,97.0,3.0,100.0
1982–1983,58.9,12.4,12.7,2.0,2.4,3.0,1.3,—,3.3,—,96.1,3.9,100.0
1983–1984,58.8,12.4,12.8,1.8,2.6,2.8,1.1,—,3.1,—,95.5,4.5,100.0
1984–1985,58.6,12.2,14.0,1.7,3.0,2.6,1.0,—,3.2,—,96.4,3.6,100.0
1985–1986,57.4,12.5,13.7,1.7,3.3,2.9,1.2,—,3.1,—,95.5,4.5,100.0
1986–1987,57.2,12.6,13.7,1.4,3.6,2.7,1.2,—,3.0,—,95.3,4.7,100.0
1987–1988,56.0,12.7,14.2,1.4,3.8,2.8,1.4,—,3.1,—,95.3,4.7,100.0
1988–1989,57.6,13.0,14.8,1.4,4.1,2.9,1.3,—,3.3,—,98.3,1.7,100.0
1989–1990,56.5,13.7,15.0,1.3,4.2,2.8,1.5,—,3.4,—,98.4,1.6,100.0
1990–1991,56.6,13.8,14.8,1.2,4.3,2.8,1.4,—,3.3,—,98.1,1.9,100.0
1991–1992,57.2,13.8,14.7,0.9,4.8,2.7,1.3,—,3.0,—,98.4,1.6,100.0
1992–1993,58.4,12.0,14.9,0.8,5.0,2.6,1.4,—,2.7,—,97.8,2.2,100.0
1993–1994,57.6,11.9,15.1,0.7,5.6,3.0,1.3,—,2.7,—,97.7,2.3,100.0
1994–1995,57.6,11.6,14.9,0.7,5.8,3.2,1.3,—,2.7,—,97.8,2.2,100.0
1995–1996,53.9,15.4,15.0,0.7,5.9,3.4,1.2,—,2.6,—,98.1,1.9,100.0
1996–1997,49.8,19.6,15.1,0.6,5.8,4.0,1.2,—,2.5,—,98.6,1.4,100.0
1997–1998,45.5,23.1,15.7,0.6,5.4,4.4,1.0,—,2.4,—,98.1,1.9,100.0
1998–1999,47.0,20.8,14.6,0.5,5.2,4.9,1.0,—,2.1,—,96.2,3.8,100.0
1999–2000,43.8,19.2,14.2,0.5,5.1,4.6,1.4,—,2.0,—,90.8,9.2,100.0
2000–2001,44.5,19.8,14.4,0.4,5.6,4.4,1.4,—,2.2,—,92.7,7.3,100.0
2001–2002,46.6,19.7,14.0,0.4,5.9,4.6,1.5,—,2.1,—,94.8,5.2,100.0
2002–2003,47.1,19.3,13.9,0.4,6.2,5.4,1.5,—,2.1,—,95.6,4.4,100.0
2003–2004,45.2,18.5,17.0,0.3,6.5,5.1,1.2,—,2.9,—,96.6,3.4,100.0
2004–2005,45.4,18.2,17.4,0.3,6.7,5.3,1.1,—,2.8,—,97.2,2.8,100.0
2005–2006 ,47.0,18.4,17.2,0.3,6.6,5.2,1.1,—,1.9,—,97.8,2.2,100.0
2006–2007 ,48.5,17.3,16.5,0.3,6.3,4.2,1.1,—,2.1,—,96.2,3.8,100.0
2007–2008,47.7,17.2,16.0,0.3,6.4,3.8,1.2,—,2.2,—,94.8,5.2,100.0
2008–2009 ,46.4,17.5,15.5,0.3,6.0,3.9,1.5,—,4.6,—,95.8,4.2,100.0
2009–2010,46.9,16.3,14.9,0.3,5.8,3.9,1.4,—,4.9,—,94.5,5.5,100.0
2010–2011 ,44.8,15.2,16.8,0.3,5.5,3.4,1.2,—,7.0,—,94.2,5.8,100.0
2011–2012,44.3,14.8,16.3,0.4,5.6,3.6,1.4,—,7.2,—,93.5,6.5,100.0
2012–2013 ,40.6,13.5,15.3,1.0,5.4,3.5,0.9,7.6,5.5,—,93.2,6.8,100.0
2013–2014 ,41.1,13.5,16.0,0.4,5.1,3.6,0.8,7.9,5.5,—,94.0,6.0,100.0
2014–2015,41.7,14.4,15.9,0.5,5.0,3.7,0.6,8.3,5.7,—,95.8,4.2,100.0
2015–2016,41.2,14.6,15.5,0.5,5.1,3.9,0.6,9.1,5.8,—,96.2,3.8,100.0
2016–2017,41.8,14.8,15.2,0.5,4.8,4.0,0.6,9.6,5.9,—,97.1,2.9,100.0
2017–2018,40.8,14.9,16.3,0.5,4.9,4.0,0.6,9.5,6.3,—,97.8,2.2,100.0
2018–2019,40.9,15.3,15.7,0.5,4.8,3.9,0.6,9.9,6.1,—,97.7,2.3,100.0
2019–2020,37.7,13.8,14.3,0.4,4.6,3.7,0.5,10.0,6.5,0.0,91.5,8.5,100.0
2020–2021,34.9,13.2,13.8,0.2,4.8,2.3,0.6,10.5,7.4,3.9,91.6,8.4,100.0
2021–2022,37.0,13.3,12.9,0.2,4.5,1.7,0.5,9.7,6.8,3.2,89.9,10.1,100.0
2022–2023,36.8,13.4,13.8,0.3,4.6,3.9,0.5,9.5,6.8,—,89.6,10.4,100.0
2023–2024 f,35.8,13.0,12.9,0.3,4.2,3.9,0.5,9.3,6.6,—,86.4,13.6,100.0
2024–2025 f,40.5,14.9,12.1,0.3,4.0,4.3,0.5,10.5,7.4,—,94.6,5.4,100.0
Annual percentage change by year,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,9.7,13.6,-1.0,14.6,0.9,-3.4,3.7,—,7.9,—,7.5,-31.7,—
1976–1977,-1.3,42.6,6.5,7.6,-7.3,4.8,2.1,—,12.8,—,4.2,-28.2,—
1977–1978,6.0,14.9,-2.5,2.2,2.8,-31.0,-4.4,—,6.5,—,4.2,-40.9,—
1978–1979,2.1,-0.5,-6.4,20.1,6.8,30.7,-4.1,—,-4.5,—,1.3,-21.4,—
1979–1980,0.4,6.5,-2.5,-9.6,0.5,1.8,-2.6,—,-4.3,—,0.4,-9.3,—
1980–1981,0.6,-5.2,6.9,2.4,26.5,0.8,3.0,—,5.7,—,1.3,-31.5,—
1981–1982,0.2,-4.3,-4.2,16.3,5.0,11.3,-1.7,—,-1.0,—,-0.3,10.9,—
1982–1983,-4.2,7.5,1.1,8.9,7.3,-4.1,19.3,—,9.0,—,-0.9,29.6,—
1983–1984,-0.2,0.5,0.2,-7.6,8.2,-8.5,-14.5,—,-6.2,—,-0.7,16.1,—
1984–1985,-0.4,-1.7,9.6,-4.7,13.0,-4.9,-13.1,—,5.0,—,0.9,-19.5,—
1985–1986,-2.0,1.8,-2.0,-3.6,10.3,8.1,15.6,—,-5.8,—,-0.9,22.6,—
1986–1987,-0.4,1.2,-0.4,-14.2,9.2,-5.8,2.6,—,-0.2,—,-0.2,4.2,—
1987–1988,-1.9,0.5,3.7,0.0,6.2,3.2,16.6,—,1.0,—,0.0,0.0,—
1988–1989,2.8,2.1,4.5,-0.7,7.0,2.8,-2.2,—,6.1,—,3.1,-63.7,—
1989–1990,-1.9,6.1,1.2,-8.5,2.3,-1.8,8.0,—,4.6,—,0.0,-2.4,—
1990–1991,0.1,0.3,-1.4,-5.3,2.4,-0.4,-6.2,—,-2.4,—,-0.3,15.2,—
1991–1992,1.1,0.5,-0.8,-24.3,12.8,-4.8,-6.5,—,-8.6,—,0.3,-15.5,—
1992–1993,2.1,-13.6,1.5,-17.2,5.0,-1.4,11.9,—,-10.5,—,-0.6,36.8,—
1993–1994,-1.4,-0.8,1.1,-8.6,10.1,15.3,-10.8,—,-1.9,—,-0.1,4.7,—
1994–1995,0.1,-2.4,-0.9,-3.1,5.2,6.2,3.6,—,-0.7,—,0.1,-4.4,—
1995–1996,-6.4,33.0,0.4,-3.4,1.3,5.5,-8.0,—,-2.2,—,0.3,-11.9,—
1996–1997,-7.7,27.1,0.7,-12.6,-1.2,18.5,1.6,—,-4.0,—,0.5,-27.5,—
1997–1998,-8.6,18.2,4.0,-1.2,-6.9,10.4,-17.4,—,-5.0,—,-0.5,32.8,—
1998–1999,3.4,-10.3,-6.7,-6.1,-4.8,11.6,1.2,—,-13.5,—,-2.0,106.2,—
1999–2000,-6.8,-7.7,-2.7,-11.3,-1.4,-6.9,32.8,—,-2.9,—,-5.6,140.8,—
2000–2001,1.4,3.4,0.9,-6.6,9.1,-3.2,3.2,—,11.1,—,2.1,-21.1,—
2001–2002,4.8,-0.4,-2.8,-12.0,5.8,4.0,6.7,—,-3.4,—,2.3,-28.9,—
2002–2003,1.1,-2.4,-0.6,-8.5,4.7,16.0,-2.7,—,-2.9,—,0.9,-15.8,—
2003–2004,-4.0,-3.8,22.5,-8.9,4.9,-5.1,-17.9,—,37.9,—,1.0,-23.0,—
2004–2005,0.5,-1.6,2.2,-7.8,2.9,4.5,-8.4,—,-1.0,—,0.6,-17.2,—
2005–2006 ,3.6,1.1,-0.9,-11.1,-0.5,-1.3,1.3,—,-33.2,—,0.6,-21.9,—
2006–2007 ,3.2,-5.9,-4.1,-5.4,-5.7,-20.9,-3.2,—,10.8,—,-1.7,74.9,—
2007–2008,-1.8,-0.7,-3.1,26.7,2.9,-9.4,9.9,—,6.4,—,-1.5,37.0,—
2008–2009 ,-2.7,1.9,-3.1,8.7,-6.5,2.9,28.2,—,108.3,—,1.1,-19.2,—
2009–2010,1.2,-6.8,-3.8,-10.4,-3.8,0.6,-5.0,—,5.5,—,-1.3,30.4,—
2010–2011 ,-4.6,-7.0,12.5,3.8,-5.0,-13.5,-16.7,—,43.5,—,-0.4,6.4,—
2011–2012,-1.1,-2.8,-2.5,23.5,2.5,5.7,12.0,—,1.8,—,-0.7,11.3,—
2012–2013 ,-8.3,-8.9,-6.4,156.2,-4.4,-1.9,-36.7,—,-23.1,—,-0.3,4.2,—
2013–2014 ,1.2,0.6,4.6,-58.7,-4.7,3.1,-3.8,3.4,0.5,—,0.8,-11.4,—
2014–2015,1.6,6.4,-0.6,17.4,-2.4,3.5,-27.0,4.9,1.9,—,1.9,-29.2,—
2015–2016,-1.4,1.1,-2.4,4.9,1.2,3.9,-2.6,10.1,2.6,—,0.4,-9.5,—
2016–2017,1.7,1.8,-2.2,-6.3,-4.8,2.3,-4.9,5.9,0.9,—,1.0,-25.6,—
2017–2018,-2.4,0.3,7.5,-4.0,2.1,0.2,1.8,-1.2,8.1,—,0.6,-22.0,—
2018–2019,0.3,2.8,-3.6,-3.2,-3.2,-0.4,2.2,4.0,-2.9,—,0.0,1.7,—
2019–2020,-8.0,-9.4,-8.7,-21.4,-3.4,-5.8,-9.0,0.8,5.2,—,-6.4,274.9,—
2020–2021,-7.3,-4.7,-4.1,-33.9,3.8,-37.1,13.2,5.0,13.8,—,0.1,-0.7,—
2021–2022,5.8,1.0,-6.0,-4.2,-6.0,-25.7,-10.9,-7.9,-7.6,-17.0,-1.8,19.9,—
2022–2023,-0.5,0.4,6.7,30.5,2.4,123.2,0.0,-1.1,0.1,—,-0.3,2.9,—
2023–2024 f,-2.8,-2.4,-6.6,-0.9,-8.8,-0.7,-6.3,-2.8,-2.6,—,-3.5,30.3,—
2024–2025 f,13.3,14.1,-6.2,1.8,-4.0,12.3,-0.4,13.3,12.0,—,9.4,-59.9,—
Notes,,,,,,,,,,,,,
