Geography,Sex,Fiscal year,"Rate (per 100,000)",Counts,Population
Nova Scotia,Both sexes,2019-2020,271.0,2295.0,846220.0
Nova Scotia,Both sexes,2020-2021*,280.0,2415.0,862845.0
Nova Scotia,Both sexes,2021-2022*,275.0,2420.0,880915.0
Nova Scotia,Both sexes,2022-2023*,254.0,2295.0,903825.0
New Brunswick,Both sexes,2015-2016,312.0,1895.0,608075.0
New Brunswick,Both sexes,2016-2017,319.0,1960.0,613780.0
New Brunswick,Both sexes,2017-2018,322.0,1995.0,619640.0
New Brunswick,Both sexes,2018-2019,319.0,1995.0,625925.0
New Brunswick,Both sexes,2019-2020,313.0,1980.0,633195.0
New Brunswick,Both sexes,2020-2021*,294.0,1880.0,639470.0
New Brunswick,Both sexes,2021-2022*,,0.0,0.0
New Brunswick,Both sexes,2022-2023*,,0.0,0.0
Quebec,Both sexes,2015-2016,291.0,18465.0,6342220.0
Quebec,Both sexes,2016-2017,305.0,19490.0,6384980.0
Quebec,Both sexes,2017-2018,321.0,20620.0,6427440.0
Quebec,Both sexes,2018-2019,323.0,20910.0,6469285.0
Quebec,Both sexes,2019-2020,293.0,19125.0,6526550.0
Quebec,Both sexes,2020-2021*,292.0,19150.0,6559300.0
Quebec,Both sexes,2021-2022*,323.0,21360.0,6616790.0
Quebec,Both sexes,2022-2023*,327.0,21920.0,6698060.0
Ontario,Both sexes,2015-2016,200.0,22455.0,11251840.0
Ontario,Both sexes,2016-2017,202.0,23150.0,11432590.0
Ontario,Both sexes,2017-2018,194.0,22480.0,11605380.0
Ontario,Both sexes,2018-2019,190.0,22515.0,11823545.0
Ontario,Both sexes,2019-2020,183.0,22195.0,12096665.0
Ontario,Both sexes,2020-2021*,171.0,20575.0,12063050.0
Ontario,Both sexes,2021-2022*,172.0,21175.0,12315415.0
Ontario,Both sexes,2022-2023*,159.0,20140.0,12633055.0
Manitoba,Both sexes,2015-2016,218.0,2195.0,1007780.0
Manitoba,Both sexes,2016-2017,215.0,2200.0,1022585.0
Manitoba,Both sexes,2017-2018,214.0,2215.0,1035550.0
Manitoba,Both sexes,2018-2019,209.0,2180.0,1043920.0
Manitoba,Both sexes,2019-2020,210.0,2200.0,1045515.0
Manitoba,Both sexes,2020-2021*,192.0,2025.0,1053260.0
Manitoba,Both sexes,2021-2022*,197.0,2105.0,1068865.0
Manitoba,Both sexes,2022-2023*,176.0,1935.0,1101780.0
Saskatchewan,Both sexes,2015-2016,209.0,1820.0,871820.0
Saskatchewan,Both sexes,2016-2017,200.0,1775.0,887290.0
Saskatchewan,Both sexes,2017-2018,189.0,1705.0,900985.0
Saskatchewan,Both sexes,2018-2019,195.0,1790.0,917650.0
Saskatchewan,Both sexes,2019-2020,197.0,1800.0,915605.0
Saskatchewan,Both sexes,2020-2021*,192.0,1770.0,924255.0
Saskatchewan,Both sexes,2021-2022*,184.0,1720.0,936045.0
Saskatchewan,Both sexes,2022-2023*,169.0,1595.0,942705.0
Alberta,Both sexes,2015-2016,164.0,5555.0,3393235.0
Alberta,Both sexes,2016-2017,165.0,5695.0,3445205.0
Alberta,Both sexes,2017-2018,164.0,5750.0,3498015.0
Alberta,Both sexes,2018-2019,164.0,5835.0,3568275.0
Alberta,Both sexes,2019-2020,165.0,5995.0,3642160.0
Alberta,Both sexes,2020-2021*,153.0,5655.0,3686430.0
Alberta,Both sexes,2021-2022*,147.0,5525.0,3758065.0
Alberta,Both sexes,2022-2023*,131.0,5120.0,3901385.0
British Columbia,Both sexes,2015-2016,193.0,7365.0,3823295.0
British Columbia,Both sexes,2016-2017,195.0,7595.0,3893525.0
British Columbia,Both sexes,2017-2018,192.0,7645.0,3974245.0
British Columbia,Both sexes,2018-2019,192.0,7810.0,4061040.0
British Columbia,Both sexes,2019-2020,189.0,7885.0,4164550.0
British Columbia,Both sexes,2020-2021*,182.0,7695.0,4237180.0
British Columbia,Both sexes,2021-2022*,177.0,7705.0,4363415.0
British Columbia,Both sexes,2022-2023*,166.0,7500.0,4520815.0
Yukon Territory,Both sexes,2015-2016,207.0,65.0,31450.0
Yukon Territory,Both sexes,2016-2017,218.0,70.0,32170.0
Yukon Territory,Both sexes,2017-2018,167.0,55.0,32995.0
Yukon Territory,Both sexes,2018-2019,194.0,65.0,33495.0
Yukon Territory,Both sexes,2019-2020,218.0,75.0,34325.0
Yukon Territory,Both sexes,2020-2021*,187.0,65.0,34830.0
Yukon Territory,Both sexes,2021-2022*,182.0,65.0,35645.0
Yukon Territory,Both sexes,2022-2023*,206.0,75.0,36400.0
Northwest Territories,Both sexes,2015-2016,206.0,70.0,33950.0
Northwest Territories,Both sexes,2016-2017,190.0,65.0,34180.0
Northwest Territories,Both sexes,2017-2018,193.0,65.0,33620.0
Northwest Territories,Both sexes,2018-2019,177.0,60.0,33940.0
Northwest Territories,Both sexes,2019-2020,146.0,50.0,34135.0
Northwest Territories,Both sexes,2020-2021*,148.0,50.0,33690.0
Northwest Territories,Both sexes,2021-2022*,148.0,50.0,33895.0
Northwest Territories,Both sexes,2022-2023*,134.0,45.0,33655.0
Nunavut,Both sexes,2015-2016,108.0,25.0,23205.0
Nunavut,Both sexes,2016-2017,105.0,25.0,23865.0
Nunavut,Both sexes,2017-2018,102.0,25.0,24495.0
Nunavut,Both sexes,2018-2019,120.0,30.0,24910.0
Nunavut,Both sexes,2019-2020,101.0,25.0,24805.0
Nunavut,Both sexes,2020-2021*,80.0,20.0,24850.0
Nunavut,Both sexes,2021-2022*,159.0,40.0,25220.0
Nunavut,Both sexes,2022-2023*,137.0,35.0,25515.0
